Collection_UnsafeIterator @ ArrayFactory.java:294: 3 Unique Traces, 23 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:310: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:139: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteCodeElement.java:159: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ ClassInjector.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:242: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionErasureMatcher.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionItemMatcher.java:47: 3 Unique Traces, 35 Redundant Traces, 3 Preserved, 10 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Comparators.java:63: 7 Unique Traces, 431775 Redundant Traces, 2 Preserved, 21657 Remained 
Collection_UnsafeIterator @ ConstructorStrategy.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DynamicType.java:2962: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DynamicType.java:5688: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:6089: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:6100: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:132: 1 Unique Traces, 64 Redundant Traces, 1 Preserved, 64 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:145: 6 Unique Traces, 211 Redundant Traces, 3 Preserved, 24 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:200: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:213: 5 Unique Traces, 50 Redundant Traces, 4 Preserved, 15 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:345: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ ElementMatchers.java:601: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ FieldAttributeAppender.java:146: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:133: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ FieldRegistry.java:257: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ FilterableList.java:124: 7 Unique Traces, 109 Redundant Traces, 5 Preserved, 24 Remained 
Collection_UnsafeIterator @ Implementation.java:415: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ Implementation.java:1227: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ Implementation.java:1239: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ Implementation.java:1242: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ Implementation.java:1245: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ Iterables.java:31: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Iterables.java:92: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ LatentMatcher.java:336: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:128: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:202: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:205: 3 Unique Traces, 7 Redundant Traces, 3 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:211: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:217: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:470: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodAttributeAppender.java:483: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:132: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:173: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:319: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodCallProxy.java:407: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodConstant.java:140: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodDelegation.java:949: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:536: 3 Unique Traces, 9 Redundant Traces, 3 Preserved, 9 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:968: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:982: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodDelegationBinder.java:1092: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodDescription.java:524: 3 Unique Traces, 25 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodDescription.java:538: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ MethodDescription.java:549: 3 Unique Traces, 19 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsafeIterator @ MethodDescription.java:1987: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ MethodGraph.java:641: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:714: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1019: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 27 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1189: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1212: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1234: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodGraph.java:1251: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodList.java:89: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:458: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:479: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:483: 4 Unique Traces, 12 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:505: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:508: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Collection_UnsafeIterator @ MethodRegistry.java:738: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ MethodVariableAccess.java:233: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ ModifierContributor.java:202: 4 Unique Traces, 37 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:353: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:381: 4 Unique Traces, 1 Redundant Traces, 4 Preserved, 1 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:387: 6 Unique Traces, 8 Redundant Traces, 6 Preserved, 6 Remained 
Collection_UnsafeIterator @ MultipleParentClassLoader.java:395: 3 Unique Traces, 4 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ NonLeafHelper.java:63: 8 Unique Traces, 113139 Redundant Traces, 5 Preserved, 5734 Remained 
Collection_UnsafeIterator @ ParameterList.java:82: 2 Unique Traces, 19 Redundant Traces, 2 Preserved, 19 Remained 
Collection_UnsafeIterator @ ParameterList.java:95: 3 Unique Traces, 6 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ ParameterList.java:106: 4 Unique Traces, 367 Redundant Traces, 4 Preserved, 36 Remained 
Collection_UnsafeIterator @ ParameterList.java:536: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 25 Remained 
Collection_UnsafeIterator @ RTree.java:478: 6 Unique Traces, 10017 Redundant Traces, 2 Preserved, 528 Remained 
Collection_UnsafeIterator @ RTree.java:497: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:512: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:827: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:929: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RTree.java:964: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ RxJavaPlugins.java:301: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SplitterQuadratic.java:83: 182 Unique Traces, 341583 Redundant Traces, 181 Preserved, 341583 Remained 
Collection_UnsafeIterator @ SplitterRStar.java:79: 2 Unique Traces, 53906 Redundant Traces, 1 Preserved, 2639 Remained 
Collection_UnsafeIterator @ StackManipulation.java:216: 7 Unique Traces, 136 Redundant Traces, 3 Preserved, 17 Remained 
Collection_UnsafeIterator @ StackManipulation.java:229: 4 Unique Traces, 133 Redundant Traces, 2 Preserved, 15 Remained 
Collection_UnsafeIterator @ StackManipulation.java:242: 10 Unique Traces, 73 Redundant Traces, 10 Preserved, 73 Remained 
Collection_UnsafeIterator @ StreamImpl.java:20: 6 Unique Traces, 117154 Redundant Traces, 2 Preserved, 5834 Remained 
Collection_UnsafeIterator @ SubclassDynamicTypeBuilder.java:242: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ SubscriptionList.java:134: 1 Unique Traces, 95 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:84: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 1 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:140: 4 Unique Traces, 14 Redundant Traces, 4 Preserved, 11 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:508: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ TargetMethodAnnotationDrivenBinder.java:526: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ Transformer.java:635: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Transformer.java:648: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:87: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ TypeAttributeAppender.java:92: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeCache.java:454: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7777: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7935: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ TypeDescription.java:7951: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ TypeList.java:99: 4 Unique Traces, 20 Redundant Traces, 4 Preserved, 15 Remained 
Collection_UnsafeIterator @ TypeList.java:302: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 22 Remained 
Collection_UnsafeIterator @ TypeList.java:313: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Collection_UnsafeIterator @ TypeList.java:324: 4 Unique Traces, 46 Redundant Traces, 4 Preserved, 20 Remained 
Collection_UnsafeIterator @ TypeList.java:335: 5 Unique Traces, 289 Redundant Traces, 4 Preserved, 16 Remained 
Collection_UnsafeIterator @ TypeList.java:346: 2 Unique Traces, 24 Redundant Traces, 2 Preserved, 24 Remained 
Collection_UnsafeIterator @ TypeResolutionStrategy.java:102: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TypeWriter.java:617: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 13 Remained 
