Collection_UnsafeIterator @ AnnotationList.java:101: 4 Unique Traces, 99 Redundant Traces, 4 Preserved, 25 Remained 
Collection_UnsafeIterator @ AnnotationList.java:126: 2 Unique Traces, 14 Redundant Traces, 2 Preserved, 9 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:301: 3 Unique Traces, 29 Redundant Traces, 3 Preserved, 23 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:317: 3 Unique Traces, 13 Redundant Traces, 3 Preserved, 6 Remained 
Collection_UnsafeIterator @ BasicVerifier.java:378: 2 Unique Traces, 320 Redundant Traces, 1 Preserved, 63 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:134: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:150: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteCodeElement.java:159: 4 Unique Traces, 14 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ ClassInjector.java:107: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:112: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:209: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionErasureMatcher.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionItemMatcher.java:47: 4 Unique Traces, 40 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ConstructorStrategy.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DynamicType.java:2901: 3 Unique Traces, 5 Redundant Traces, 3 Preserved, 4 Remained 
Collection_UnsafeIterator @ DynamicType.java:5548: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ DynamicType.java:5927: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ DynamicType.java:5938: 2 Unique Traces, 7 Redundant Traces, 2 Preserved, 5 Remained 
