Appendable_ThreadSafe @ OLocalRecordCache.java:49: 1 Unique Traces, 13 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ OLocalRecordCache.java:50: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ OLogManager.java:102: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 518 Remained 
Appendable_ThreadSafe @ OMethodCall.java:29: 1 Unique Traces, 97 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ OModifier.java:47: 1 Unique Traces, 94 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ ONotInCondition.java:44: 1 Unique Traces, 65 Redundant Traces, 1 Preserved, 27 Remained 
Appendable_ThreadSafe @ OOrBlock.java:65: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ OProjection.java:48: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ OProjection.java:60: 1 Unique Traces, 75 Redundant Traces, 1 Preserved, 42 Remained 
Appendable_ThreadSafe @ OProjectionItem.java:65: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 18 Remained 
Appendable_ThreadSafe @ OPropertyImpl.java:125: 1 Unique Traces, 3182 Redundant Traces, 1 Preserved, 167 Remained 
Appendable_ThreadSafe @ ORecordId.java:78: 1 Unique Traces, 124 Redundant Traces, 1 Preserved, 114 Remained 
Appendable_ThreadSafe @ ORole.java:376: 1 Unique Traces, 156 Redundant Traces, 1 Preserved, 20 Remained 
Appendable_ThreadSafe @ OSBTree.java:455: 1 Unique Traces, 66 Redundant Traces, 1 Preserved, 5 Remained 
Appendable_ThreadSafe @ OSQLFilterItemAbstract.java:164: 2 Unique Traces, 223 Redundant Traces, 2 Preserved, 19 Remained 
Appendable_ThreadSafe @ OSQLPredicate.java:78: 1 Unique Traces, 4351 Redundant Traces, 1 Preserved, 208 Remained 
