Collection_UnsafeIterator @ ExecutionGraphGenerator.java:96: 13 Unique Traces, 88 Redundant Traces, 6 Preserved, 16 Remained 
Collection_UnsafeIterator @ ExecutionGraphGenerator.java:136: 9 Unique Traces, 747 Redundant Traces, 2 Preserved, 56 Remained 
Collection_UnsafeIterator @ ExecutionGraphGenerator.java:165: 11 Unique Traces, 333 Redundant Traces, 6 Preserved, 39 Remained 
Collection_UnsafeIterator @ FlowTest.java:114: 4 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoggerContext.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoopTest.java:89: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ MapSerializer.java:900: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Collection_UnsafeIterator @ MultiThreadedDataFlowExecutor.java:251: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:329: 4 Unique Traces, 30 Redundant Traces, 3 Preserved, 5 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:343: 4 Unique Traces, 30 Redundant Traces, 4 Preserved, 30 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:379: 6 Unique Traces, 28 Redundant Traces, 6 Preserved, 28 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:460: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:468: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:656: 6 Unique Traces, 28 Redundant Traces, 6 Preserved, 28 Remained 
Collection_UnsafeIterator @ POJOPropertiesCollector.java:705: 5 Unique Traces, 29 Redundant Traces, 5 Preserved, 3 Remained 
