Appendable_ThreadSafe @ ControlDependenceGraph.java:90: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:96: 1 Unique Traces, 541 Redundant Traces, 1 Preserved, 51 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:97: 1 Unique Traces, 541 Redundant Traces, 1 Preserved, 76 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:98: 1 Unique Traces, 541 Redundant Traces, 1 Preserved, 35 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:108: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 43 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:109: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 66 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:110: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 39 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:111: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 24 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:119: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:129: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:137: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 17 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:140: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:147: 1 Unique Traces, 541 Redundant Traces, 1 Preserved, 107 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:148: 1 Unique Traces, 541 Redundant Traces, 1 Preserved, 49 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:149: 1 Unique Traces, 541 Redundant Traces, 1 Preserved, 40 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:162: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 47 Remained 
Appendable_ThreadSafe @ ControlDependenceGraph.java:163: 1 Unique Traces, 502 Redundant Traces, 1 Preserved, 30 Remained 
