Appendable_ThreadSafe @ FunctionXs.java:372: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ FunctionXs.java:379: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Appendable_ThreadSafe @ RealTest.java:43: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeedTest.java:14: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeedTest.java:29: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ SpeedTest.java:39: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ComplexFunction.java:61: 2 Unique Traces, 33 Redundant Traces, 2 Preserved, 25 Remained 
Collection_UnsafeIterator @ FunctionXs.java:60: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ComplexFunction.java:62: 2 Unique Traces, 33 Redundant Traces, 1 Preserved, 22 Remained 
Collections_SortBeforeBinarySearch @ FunctionXs.java:61: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:198: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:200: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:216: 2 Unique Traces, 30 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:220: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ Parser.java:270: 2 Unique Traces, 38 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_HasNext @ ComplexFunction.java:61: 2 Unique Traces, 33 Redundant Traces, 2 Preserved, 26 Remained 
Iterator_HasNext @ FunctionXs.java:60: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ ComplexFunction.java:61: 2 Unique Traces, 33 Redundant Traces, 2 Preserved, 33 Remained 
Iterator_RemoveOnce @ FunctionXs.java:60: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:92: 1 Unique Traces, 103 Redundant Traces, 1 Preserved, 31 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:257: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:331: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:393: 1 Unique Traces, 90 Redundant Traces, 1 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:439: 1 Unique Traces, 60 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:443: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:446: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ ComplexFunction.java:474: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 21 Remained 
