Collection_UnsafeIterator @ DefaultTermPath.java:211: 39 Unique Traces, 41913 Redundant Traces, 8 Preserved, 2099 Remained 
Collection_UnsafeIterator @ ForeignNameRecognitor.java:48: 34 Unique Traces, 6958 Redundant Traces, 9 Preserved, 405 Remained 
Collection_UnsafeIterator @ ForeignNameRecognitor.java:98: 1 Unique Traces, 15767 Redundant Traces, 1 Preserved, 789 Remained 
Collection_UnsafeIterator @ ForeignNameRecognitor.java:138: 1 Unique Traces, 2821 Redundant Traces, 1 Preserved, 151 Remained 
Collection_UnsafeIterator @ ForeignNameRecognitor.java:146: 1 Unique Traces, 2821 Redundant Traces, 1 Preserved, 144 Remained 
Collection_UnsafeIterator @ HMMTokenizer.java:144: 1 Unique Traces, 1121 Redundant Traces, 1 Preserved, 67 Remained 
Collection_UnsafeIterator @ HMMTokenizer.java:146: 42 Unique Traces, 6690 Redundant Traces, 6 Preserved, 364 Remained 
Collection_UnsafeIterator @ HMMTokenizer.java:156: 7 Unique Traces, 1115 Redundant Traces, 3 Preserved, 56 Remained 
Collection_UnsafeIterator @ KShortestPaths.java:167: 7 Unique Traces, 1115 Redundant Traces, 4 Preserved, 64 Remained 
Collection_UnsafeIterator @ KShortestPathsIterator.java:157: 16 Unique Traces, 14062 Redundant Traces, 2 Preserved, 745 Remained 
Collection_UnsafeIterator @ KShortestPathsIterator.java:247: 17 Unique Traces, 14061 Redundant Traces, 17 Preserved, 14061 Remained 
Collection_UnsafeIterator @ KShortestPathsIterator.java:253: 67 Unique Traces, 47977 Redundant Traces, 6 Preserved, 2516 Remained 
Collection_UnsafeIterator @ KShortestPathsIterator.java:329: 4 Unique Traces, 45774 Redundant Traces, 2 Preserved, 2323 Remained 
Collection_UnsafeIterator @ LoggerContext.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LoggerFactory.java:186: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ NatureRecognitor.java:36: 30 Unique Traces, 6962 Redundant Traces, 6 Preserved, 373 Remained 
Collection_UnsafeIterator @ NatureRecognitor.java:38: 13 Unique Traces, 84371 Redundant Traces, 3 Preserved, 4185 Remained 
Collection_UnsafeIterator @ NatureRecognitor.java:52: 91 Unique Traces, 6901 Redundant Traces, 91 Preserved, 6901 Remained 
Collection_UnsafeIterator @ NatureRecognitor.java:53: 91 Unique Traces, 226477 Redundant Traces, 6 Preserved, 11486 Remained 
Collection_UnsafeIterator @ NatureRecognitor.java:61: 30 Unique Traces, 6962 Redundant Traces, 12 Preserved, 380 Remained 
Collection_UnsafeIterator @ NumberRecognitor.java:82: 1 Unique Traces, 2463 Redundant Traces, 1 Preserved, 139 Remained 
Collection_UnsafeIterator @ NumberRecognitor.java:150: 37 Unique Traces, 6955 Redundant Traces, 6 Preserved, 389 Remained 
Collection_UnsafeIterator @ NumberRecognitor.java:152: 1 Unique Traces, 2639 Redundant Traces, 1 Preserved, 136 Remained 
Collection_UnsafeIterator @ SimpleDetector.java:169: 35 Unique Traces, 225 Redundant Traces, 4 Preserved, 38 Remained 
Collection_UnsafeIterator @ StatusUtil.java:59: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ StatusUtil.java:95: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TFIDFKeywordExtractor.java:65: 28 Unique Traces, 56 Redundant Traces, 27 Preserved, 56 Remained 
Collection_UnsafeIterator @ TFIDFKeywordExtractor.java:100: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ TestKeywords.java:41: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ TestPOS.java:79: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ TestPOS.java:81: 38 Unique Traces, 78 Redundant Traces, 38 Preserved, 78 Remained 
Collection_UnsafeIterator @ TestPOS.java:92: 12 Unique Traces, 32 Redundant Traces, 12 Preserved, 32 Remained 
Collection_UnsafeIterator @ TestSummarization.java:36: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ TextRankSummarization.java:69: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ TextRankSummarization.java:136: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ TextRankSummarization.java:182: 28 Unique Traces, 1694 Redundant Traces, 1 Preserved, 107 Remained 
Collection_UnsafeIterator @ TextRankSummarization.java:183: 28 Unique Traces, 40494 Redundant Traces, 3 Preserved, 2086 Remained 
Collection_UnsynchronizedAddAll @ BasicStatusManager.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ DirectedSpecifics.java:181: 1 Unique Traces, 1288479 Redundant Traces, 1 Preserved, 10000 Remained 
Collection_UnsynchronizedAddAll @ HMMTokenizer.java:126: 1 Unique Traces, 1077 Redundant Traces, 1 Preserved, 63 Remained 
Collection_UnsynchronizedAddAll @ HMMTokenizer.java:130: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 26 Remained 
Collection_UnsynchronizedAddAll @ HMMTokenizer.java:147: 1 Unique Traces, 41951 Redundant Traces, 1 Preserved, 2155 Remained 
Collection_UnsynchronizedAddAll @ HMMTokenizer.java:150: 7 Unique Traces, 1115 Redundant Traces, 3 Preserved, 72 Remained 
Collections_SortBeforeBinarySearch @ AbstractNPathGenerator.java:56: 7 Unique Traces, 1115 Redundant Traces, 4 Preserved, 62 Remained 
Collections_SortBeforeBinarySearch @ AbstractPathElement.java:112: 37 Unique Traces, 6955 Redundant Traces, 11 Preserved, 379 Remained 
Collections_SortBeforeBinarySearch @ AbstractPathElementList.java:104: 1 Unique Traces, 1121 Redundant Traces, 1 Preserved, 58 Remained 
Collections_SortBeforeBinarySearch @ AbstractRecognitor.java:47: 1 Unique Traces, 41951 Redundant Traces, 1 Preserved, 2045 Remained 
Collections_SortBeforeBinarySearch @ AppenderAttachableImpl.java:40: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BasicStatusManager.java:68: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ BasicStatusManager.java:79: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ COWArrayList.java:119: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ CooccurrenceNPathGenerator.java:62: 43 Unique Traces, 1079 Redundant Traces, 43 Preserved, 1079 Remained 
Collections_SortBeforeBinarySearch @ DefaultTermPath.java:83: 41 Unique Traces, 49267 Redundant Traces, 9 Preserved, 2417 Remained 
