Collections_SortBeforeBinarySearch @ FlexibleHashMap.java:113: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ FlexibleHashMap.java:139: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:99: 1 Unique Traces, 232852 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:127: 7 Unique Traces, 258084 Redundant Traces, 2 Preserved, 12798 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:131: 1 Unique Traces, 399889 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:141: 13 Unique Traces, 35424 Redundant Traces, 1 Preserved, 1820 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:176: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:209: 1 Unique Traces, 290049 Redundant Traces, 1 Preserved, 9999 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:211: 1 Unique Traces, 290049 Redundant Traces, 1 Preserved, 10000 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:217: 114 Unique Traces, 5407 Redundant Traces, 114 Preserved, 5407 Remained 
Collections_SortBeforeBinarySearch @ GeneratorVisitor.java:224: 24 Unique Traces, 270353 Redundant Traces, 2 Preserved, 13605 Remained 
Collections_SortBeforeBinarySearch @ IntervalSet.java:151: 4 Unique Traces, 41 Redundant Traces, 4 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ ParserRuleContext.java:124: 2 Unique Traces, 401 Redundant Traces, 2 Preserved, 43 Remained 
Collections_SortBeforeBinarySearch @ ParserRuleContext.java:130: 18 Unique Traces, 862 Redundant Traces, 7 Preserved, 103 Remained 
Collections_SortBeforeBinarySearch @ ParserRuleContext.java:255: 13 Unique Traces, 889842 Redundant Traces, 6 Preserved, 44525 Remained 
Collections_SortBeforeBinarySearch @ Recognizer.java:32: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Console_CloseReader @ ANTLRInputStream.java:111: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ ATNConfigSet.java:215: 2 Unique Traces, 15 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_HasNext @ ATNDeserializer.java:171: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ATNDeserializer.java:175: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ATNDeserializer.java:223: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ATNDeserializer.java:286: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ATNDeserializer.java:306: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ATNDeserializer.java:506: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ATNDeserializer.java:528: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ATNState.java:171: 13 Unique Traces, 182 Redundant Traces, 13 Preserved, 182 Remained 
Iterator_HasNext @ FlexibleHashMap.java:87: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ FlexibleHashMap.java:104: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_HasNext @ FlexibleHashMap.java:138: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_HasNext @ GeneratorVisitor.java:124: 5 Unique Traces, 399885 Redundant Traces, 3 Preserved, 19847 Remained 
Iterator_HasNext @ GeneratorVisitor.java:140: 9 Unique Traces, 35428 Redundant Traces, 3 Preserved, 1742 Remained 
Iterator_HasNext @ GeneratorVisitor.java:166: 5 Unique Traces, 0 Redundant Traces, 5 Preserved, 0 Remained 
Iterator_HasNext @ GeneratorVisitor.java:220: 49 Unique Traces, 290001 Redundant Traces, 8 Preserved, 14574 Remained 
Iterator_HasNext @ GeneratorVisitor.java:221: 95 Unique Traces, 895910 Redundant Traces, 5 Preserved, 45163 Remained 
Iterator_HasNext @ GeneratorVisitor.java:231: 3 Unique Traces, 380754 Redundant Traces, 3 Preserved, 19042 Remained 
Iterator_HasNext @ IntervalSet.java:116: 10 Unique Traces, 67 Redundant Traces, 10 Preserved, 67 Remained 
Iterator_HasNext @ LexerATNSimulator.java:324: 7 Unique Traces, 235 Redundant Traces, 5 Preserved, 45 Remained 
Iterator_HasNext @ LexerATNSimulator.java:679: 7 Unique Traces, 128 Redundant Traces, 4 Preserved, 14 Remained 
Iterator_HasNext @ ParserATNSimulator.java:794: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 6 Remained 
Iterator_HasNext @ ParserATNSimulator.java:855: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ ParserATNSimulator.java:2031: 3 Unique Traces, 20 Redundant Traces, 3 Preserved, 20 Remained 
Iterator_HasNext @ ParserRuleContext.java:180: 7 Unique Traces, 2365075 Redundant Traces, 3 Preserved, 69998 Remained 
Iterator_HasNext @ ParserRuleContext.java:249: 15 Unique Traces, 889840 Redundant Traces, 4 Preserved, 44627 Remained 
Iterator_HasNext @ PredictionMode.java:278: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ PredictionMode.java:470: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ PredictionMode.java:548: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ ATNConfigSet.java:215: 2 Unique Traces, 15 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ATNDeserializer.java:171: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ATNDeserializer.java:175: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ATNDeserializer.java:223: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ATNDeserializer.java:286: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ATNDeserializer.java:306: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ATNDeserializer.java:506: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ATNDeserializer.java:528: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ATNState.java:171: 12 Unique Traces, 20 Redundant Traces, 12 Preserved, 20 Remained 
Iterator_RemoveOnce @ FlexibleHashMap.java:87: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ FlexibleHashMap.java:104: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_RemoveOnce @ FlexibleHashMap.java:138: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 5 Remained 
Iterator_RemoveOnce @ GeneratorVisitor.java:124: 5 Unique Traces, 399885 Redundant Traces, 3 Preserved, 20272 Remained 
Iterator_RemoveOnce @ GeneratorVisitor.java:140: 9 Unique Traces, 35428 Redundant Traces, 5 Preserved, 1780 Remained 
Iterator_RemoveOnce @ GeneratorVisitor.java:166: 5 Unique Traces, 0 Redundant Traces, 5 Preserved, 0 Remained 
Iterator_RemoveOnce @ GeneratorVisitor.java:220: 49 Unique Traces, 290001 Redundant Traces, 4 Preserved, 14428 Remained 
Iterator_RemoveOnce @ GeneratorVisitor.java:221: 95 Unique Traces, 895910 Redundant Traces, 7 Preserved, 45029 Remained 
Iterator_RemoveOnce @ GeneratorVisitor.java:231: 2 Unique Traces, 380755 Redundant Traces, 2 Preserved, 19034 Remained 
Iterator_RemoveOnce @ IntervalSet.java:117: 7 Unique Traces, 25 Redundant Traces, 6 Preserved, 25 Remained 
Iterator_RemoveOnce @ LexerATNSimulator.java:324: 7 Unique Traces, 235 Redundant Traces, 5 Preserved, 37 Remained 
Iterator_RemoveOnce @ LexerATNSimulator.java:679: 7 Unique Traces, 128 Redundant Traces, 7 Preserved, 93 Remained 
Iterator_RemoveOnce @ ParserATNSimulator.java:794: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ ParserATNSimulator.java:855: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_RemoveOnce @ ParserATNSimulator.java:2031: 3 Unique Traces, 20 Redundant Traces, 3 Preserved, 3 Remained 
Iterator_RemoveOnce @ ParserRuleContext.java:180: 6 Unique Traces, 2365076 Redundant Traces, 2 Preserved, 59998 Remained 
Iterator_RemoveOnce @ ParserRuleContext.java:249: 15 Unique Traces, 889840 Redundant Traces, 6 Preserved, 44653 Remained 
