Loc,Total,Default
Iterator_HasNextMonitor @ TriesTest.java:141,1(0),1(0)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarity.java:245,2(58),2(7)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarity.java:362,3(13),3(13)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:61,1(0),1(0)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:63,3(5),3(5)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:64,2(13),2(13)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:68,3(5),2(3)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:70,2(13),2(8)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:82,1(0),1(0)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:84,3(5),2(1)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:85,2(13),2(13)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:89,3(5),3(5)
Iterator_RemoveOnceMonitor @ JaroWinklerSimilarityTest.java:90,2(13),2(13)
Iterator_RemoveOnceMonitor @ Trie.java:65,1(2),1(2)
Iterator_RemoveOnceMonitor @ TrieMap.java:149,126(20178342),7(69993)
Iterator_RemoveOnceMonitor @ TrieMap.java:278,119(3558849),7(69993)
Iterator_RemoveOnceMonitor @ TrieMap.java:308,4(12),3(9)
Iterator_RemoveOnceMonitor @ TrieMap.java:312,2(0),2(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:56,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:128,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:131,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:162,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:179,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:182,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:198,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:201,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMapTest.java:326,1(0),1(0)
