Loc,Total,Default
Collection_UnsafeIteratorMonitor @ HtmlBlockSelectorWithAttributeMarkupHandlerTest.java:82,1(0),1(0)
Collection_UnsafeIteratorMonitor @ HtmlElements.java:222,1(0),1(0)
Collection_UnsafeIteratorMonitor @ HtmlElementsTest.java:65,1(0),1(0)
Collection_UnsafeIteratorMonitor @ HtmlMultipleSelectorWithAttributeMarkupHandlerTest.java:82,1(0),1(0)
Collection_UnsafeIteratorMonitor @ HtmlNames.java:50,1(0),1(0)
Collection_UnsafeIteratorMonitor @ HtmlNodeSelectorWithAttributeMarkupHandlerTest.java:82,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MarkupEventProcessorHandler.java:1140,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MarkupEventProcessorHandler.java:1146,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MarkupParserTest.java:1986,13(2473971),1(9999)
Collection_UnsafeIteratorMonitor @ MarkupParserTest.java:2018,13(2473971),1(9999)
Collection_UnsafeIteratorMonitor @ MarkupParserTest.java:2062,13(2473971),1(9999)
Collection_UnsafeIteratorMonitor @ MarkupParserTest.java:2221,25(2228199),1(9999)
Collection_UnsafeIteratorMonitor @ SimpleOutputMarkupHandlerTest.java:131,1(1),1(1)
Collection_UnsafeIteratorMonitor @ StringUtils.java:4130,28(652),3(48)
Collection_UnsafeIteratorMonitor @ StringUtils.java:4151,2(88),2(10)
Collection_UnsafeIteratorMonitor @ StructureNamesRepositoryTest.java:41,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StructureNamesRepositoryTest.java:47,1(0),1(0)
Collection_UnsafeIteratorMonitor @ TextTracerSimpleMarkupHandler.java:353,3(589821),1(9999)
Collection_UnsafeIteratorMonitor @ XmlBlockSelectorMarkupHandlerTest.java:83,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ MarkupEventProcessorHandler.java:1138,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ MarkupEventProcessorHandler.java:1144,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ StructureTextsRepository.java:118,2(0),2(0)
Collection_UnsynchronizedAddAllMonitor @ StructureTextsRepository.java:119,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ AbstractNestableNode.java:121,3(31),2(7)
Collections_SortBeforeBinarySearchMonitor @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:74,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ HtmlAutoOpenBlockSelectorMarkupHandlerTest.java:85,1(0),1(0)
