Loc,Total,Default
Closeable_MultipleCloseMonitor @ SerializersTest.java:174,1(0),1(0)
Closeable_MultipleCloseMonitor @ SerializersTest.java:195,1(7),1(7)
Closeable_MultipleCloseMonitor @ Utilities.java:32,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AllArguments.java:206,3(33),3(33)
Collection_UnsafeIteratorMonitor @ AnnotationAppender.java:643,1(36),1(13)
Collection_UnsafeIteratorMonitor @ AnnotationAppender.java:743,1(127),1(15)
Collection_UnsafeIteratorMonitor @ AnnotationDescription.java:578,4(32),4(31)
Collection_UnsafeIteratorMonitor @ AnnotationList.java:104,4(141),2(7)
Collection_UnsafeIteratorMonitor @ AnnotationList.java:130,2(14),2(6)
Collection_UnsafeIteratorMonitor @ ArrayFactory.java:294,3(59),3(34)
Collection_UnsafeIteratorMonitor @ ArrayFactory.java:310,3(33),3(33)
Collection_UnsafeIteratorMonitor @ ByteCodeAppender.java:139,1(17),1(17)
Collection_UnsafeIteratorMonitor @ ByteCodeAppender.java:155,3(0),3(0)
Collection_UnsafeIteratorMonitor @ ByteCodeElement.java:159,3(23),2(5)
Collection_UnsafeIteratorMonitor @ ClassInjector.java:115,2(1),2(1)
Collection_UnsafeIteratorMonitor @ ClassInjector.java:120,2(1),2(1)
Collection_UnsafeIteratorMonitor @ ClassInjector.java:242,2(1),2(1)
Collection_UnsafeIteratorMonitor @ CollectionErasureMatcher.java:52,1(2),1(2)
Collection_UnsafeIteratorMonitor @ CollectionItemMatcher.java:47,3(111),3(69)
Collection_UnsafeIteratorMonitor @ CollectionOneToOneMatcher.java:57,1(2),1(2)
Collection_UnsafeIteratorMonitor @ CollectionOneToOneMatcher.java:58,1(2),1(2)
Collection_UnsafeIteratorMonitor @ Comparators.java:63,9(2402569),1(9999)
Collection_UnsafeIteratorMonitor @ CompositeSubscription.java:184,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ConstructorStrategy.java:197,2(1),2(1)
Collection_UnsafeIteratorMonitor @ DynamicType.java:2962,2(6),2(6)
Collection_UnsafeIteratorMonitor @ DynamicType.java:5688,2(9),2(9)
Collection_UnsafeIteratorMonitor @ DynamicType.java:6089,3(8),2(1)
Collection_UnsafeIteratorMonitor @ DynamicType.java:6100,3(8),3(8)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:132,1(192),1(17)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:145,6(628),2(53)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:200,1(47),1(14)
Collection_UnsafeIteratorMonitor @ ElementMatcher.java:213,5(160),4(36)
Collection_UnsafeIteratorMonitor @ ElementMatchers.java:345,1(10),1(1)
Collection_UnsafeIteratorMonitor @ ElementMatchers.java:601,1(2),1(2)
