Loc,Total,Default
Collection_UnsafeIteratorMonitor @ KShortestPaths.java:167,7(1115),4(70)
Collection_UnsafeIteratorMonitor @ KShortestPathsIterator.java:157,16(14062),6(703)
Collection_UnsafeIteratorMonitor @ KShortestPathsIterator.java:247,17(14061),2(712)
Collection_UnsafeIteratorMonitor @ KShortestPathsIterator.java:253,67(47977),20(2478)
Collection_UnsafeIteratorMonitor @ KShortestPathsIterator.java:329,4(45774),1(2358)
Collection_UnsafeIteratorMonitor @ LoggerContext.java:317,1(0),1(0)
Collection_UnsafeIteratorMonitor @ LoggerFactory.java:186,1(0),1(0)
Collection_UnsafeIteratorMonitor @ NatureRecognitor.java:36,30(6962),3(308)
Collection_UnsafeIteratorMonitor @ NatureRecognitor.java:38,13(84371),13(84371)
Collection_UnsafeIteratorMonitor @ NatureRecognitor.java:52,91(6901),90(6901)
Collection_UnsafeIteratorMonitor @ NatureRecognitor.java:53,91(226477),6(11350)
Collection_UnsafeIteratorMonitor @ NatureRecognitor.java:61,30(6962),11(407)
Collection_UnsafeIteratorMonitor @ NumberRecognitor.java:82,1(2463),1(144)
Collection_UnsafeIteratorMonitor @ NumberRecognitor.java:150,37(6955),5(359)
Collection_UnsafeIteratorMonitor @ NumberRecognitor.java:152,1(2639),1(204)
Collection_UnsafeIteratorMonitor @ SimpleDetector.java:169,35(225),6(20)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:59,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:95,1(0),1(0)
Collection_UnsafeIteratorMonitor @ TFIDFKeywordExtractor.java:65,28(56),28(56)
Collection_UnsafeIteratorMonitor @ TFIDFKeywordExtractor.java:100,1(1),1(1)
Collection_UnsafeIteratorMonitor @ TestKeywords.java:41,1(1),1(1)
Collection_UnsafeIteratorMonitor @ TestPOS.java:79,2(2),2(2)
Collection_UnsafeIteratorMonitor @ TestPOS.java:81,38(78),38(78)
Collection_UnsafeIteratorMonitor @ TestPOS.java:92,12(32),7(7)
Collection_UnsafeIteratorMonitor @ TestSummarization.java:36,1(1),1(1)
Collection_UnsafeIteratorMonitor @ TextRankSummarization.java:69,1(1),1(1)
Collection_UnsafeIteratorMonitor @ TextRankSummarization.java:136,1(1),1(1)
Collection_UnsafeIteratorMonitor @ TextRankSummarization.java:182,28(1694),3(125)
Collection_UnsafeIteratorMonitor @ TextRankSummarization.java:183,28(40494),2(2056)
Collection_UnsynchronizedAddAllMonitor @ BasicStatusManager.java:79,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ DirectedSpecifics.java:181,1(1288479),1(10000)
Collection_UnsynchronizedAddAllMonitor @ HMMTokenizer.java:126,1(1077),1(66)
Collection_UnsynchronizedAddAllMonitor @ HMMTokenizer.java:130,1(49),1(17)
Collection_UnsynchronizedAddAllMonitor @ HMMTokenizer.java:147,1(41951),1(2053)
Collection_UnsynchronizedAddAllMonitor @ HMMTokenizer.java:150,7(1115),3(65)
Collections_SortBeforeBinarySearchMonitor @ AbstractNPathGenerator.java:56,7(1115),3(57)
Collections_SortBeforeBinarySearchMonitor @ AbstractPathElement.java:112,37(6955),3(372)
Collections_SortBeforeBinarySearchMonitor @ AbstractPathElementList.java:104,1(1121),1(63)
Collections_SortBeforeBinarySearchMonitor @ AbstractRecognitor.java:47,1(41951),1(2006)
Collections_SortBeforeBinarySearchMonitor @ AppenderAttachableImpl.java:40,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BasicStatusManager.java:68,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BasicStatusManager.java:79,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ COWArrayList.java:119,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ CooccurrenceNPathGenerator.java:62,43(1079),43(1079)
Collections_SortBeforeBinarySearchMonitor @ DefaultTermPath.java:83,41(49267),6(2503)
Collections_SortBeforeBinarySearchMonitor @ DefaultTermPath.java:142,4(2818),1(142)
Collections_SortBeforeBinarySearchMonitor @ DirectedEdgeContainer.java:87,12(721446),2(19998)
Collections_SortBeforeBinarySearchMonitor @ DirectedEdgeContainer.java:97,12(720992),2(19998)
Collections_SortBeforeBinarySearchMonitor @ DirectedSpecifics.java:181,1(1288479),1(9999)
Collections_SortBeforeBinarySearchMonitor @ FastLookupDirectedSpecifics.java:132,1(1152807),1(10000)
Collections_SortBeforeBinarySearchMonitor @ HMMTokenizer.java:86,1(19),1(19)
Collections_SortBeforeBinarySearchMonitor @ HMMTokenizer.java:126,16(250),8(15)
Collections_SortBeforeBinarySearchMonitor @ HMMTokenizer.java:130,1(27),1(3)
Collections_SortBeforeBinarySearchMonitor @ HMMTokenizer.java:145,7(1115),3(57)
Collections_SortBeforeBinarySearchMonitor @ HMMTokenizer.java:167,1(1121),1(94)
Collections_SortBeforeBinarySearchMonitor @ IOUtils.java:1461,2(2),2(0)
Collections_SortBeforeBinarySearchMonitor @ KShortestPaths.java:168,7(1115),4(99)
Collections_SortBeforeBinarySearchMonitor @ KShortestPathsIterator.java:256,7(48037),1(2391)
Collections_SortBeforeBinarySearchMonitor @ KShortestPathsIterator.java:301,12(14994),5(732)
Collections_SortBeforeBinarySearchMonitor @ Logger.java:359,5(8),5(8)
Collections_SortBeforeBinarySearchMonitor @ NumberRecognitor.java:51,211(6781),210(6781)
Collections_SortBeforeBinarySearchMonitor @ NumberRecognitor.java:55,15(1397),7(95)
Collections_SortBeforeBinarySearchMonitor @ NumberRecognitor.java:113,2(190),1(21)
Collections_SortBeforeBinarySearchMonitor @ NumberRecognitor.java:172,1(1367),1(72)
Collections_SortBeforeBinarySearchMonitor @ RankingPathElementList.java:137,135(19575),7(991)
Collections_SortBeforeBinarySearchMonitor @ SimpleDetector.java:69,49(125),49(125)
Collections_SortBeforeBinarySearchMonitor @ SimpleDetector.java:74,3(5),3(5)
Collections_SortBeforeBinarySearchMonitor @ SimpleDetector.java:79,2(2),2(2)
Collections_SortBeforeBinarySearchMonitor @ SimpleDetector.java:93,21(23),21(23)
Collections_SortBeforeBinarySearchMonitor @ SimpleDetector.java:108,1(29),1(1)
Collections_SortBeforeBinarySearchMonitor @ StatusUtil.java:61,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ TFIDFKeywordExtractor.java:91,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ TFIDFKeywordExtractor.java:101,1(1),1(0)
Collections_SortBeforeBinarySearchMonitor @ TextRankSummarization.java:86,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ TextRankSummarization.java:199,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ TreeSingleSourcePathsImpl.java:143,35(48909),7(2392)
Console_CloseReaderMonitor @ CharDFAFileCorpus.java:72,1(19),1(17)
Console_CloseReaderMonitor @ CompanyNameLengthFileCorpus.java:71,1(19),1(13)
Console_CloseReaderMonitor @ CooccurrenceFileCorpus.java:50,1(19),1(19)
Console_CloseReaderMonitor @ NatureCooccurrenceFileCorpus.java:68,1(19),1(19)
Console_CloseReaderMonitor @ NatureFreqFileCorpus.java:73,1(19),1(9)
Console_CloseReaderMonitor @ T2SFileCorpus.java:61,1(19),1(5)
Console_CloseWriterMonitor @ IOUtils.java:141,1(1),1(1)
Console_FillZeroPasswordMonitor @ T2SFileCorpus.java:46,1(19),1(8)
InputStream_ManipulateAfterCloseMonitor @ CharDFAFileCorpus.java:54,1(19),1(4)
InputStream_ManipulateAfterCloseMonitor @ CharsetFileCorpus.java:32,1(19),1(5)
InputStream_ManipulateAfterCloseMonitor @ CompanyNameLengthFileCorpus.java:31,1(19),1(19)
InputStream_ManipulateAfterCloseMonitor @ CooccurrenceFileCorpus.java:32,1(19),1(16)
InputStream_ManipulateAfterCloseMonitor @ NatureCooccurrenceFileCorpus.java:31,1(19),1(4)
InputStream_ManipulateAfterCloseMonitor @ NatureFreqFileCorpus.java:36,1(19),1(19)
InputStream_ManipulateAfterCloseMonitor @ T2SFileCorpus.java:38,1(19),1(19)
InputStream_ManipulateAfterCloseMonitor @ TestKeywords.java:45,1(1),1(1)
InputStream_ManipulateAfterCloseMonitor @ TestSentence.java:35,1(1),1(1)
InputStream_ManipulateAfterCloseMonitor @ TestSummarization.java:40,1(1),1(1)
InputStream_MarkAfterCloseMonitor @ CharDFAFileCorpus.java:54,1(19),1(19)
InputStream_MarkAfterCloseMonitor @ CharsetFileCorpus.java:32,1(19),1(18)
InputStream_MarkAfterCloseMonitor @ CompanyNameLengthFileCorpus.java:31,1(19),1(7)
InputStream_MarkAfterCloseMonitor @ CooccurrenceFileCorpus.java:32,1(19),1(19)
InputStream_MarkAfterCloseMonitor @ NatureCooccurrenceFileCorpus.java:31,1(19),1(19)
InputStream_MarkAfterCloseMonitor @ NatureFreqFileCorpus.java:36,1(19),1(4)
InputStream_MarkAfterCloseMonitor @ T2SFileCorpus.java:38,1(19),1(9)
InputStream_MarkAfterCloseMonitor @ TestKeywords.java:45,1(1),1(1)
InputStream_MarkAfterCloseMonitor @ TestSentence.java:35,1(1),1(1)
InputStream_MarkAfterCloseMonitor @ TestSummarization.java:40,1(1),1(1)
Iterator_HasNextMonitor @ AbstractNPathGenerator.java:54,7(1115),4(65)
Iterator_HasNextMonitor @ AbstractRecognitor.java:75,1(363),1(27)
Iterator_HasNextMonitor @ AbstractRecognitor.java:83,1(363),1(38)
Iterator_HasNextMonitor @ AbstractRecognitor.java:102,5(1587),2(77)
Iterator_HasNextMonitor @ AbstractRecognitor.java:109,2(1590),2(97)
Iterator_HasNextMonitor @ AbstractRecognitor.java:117,2(1590),2(116)
Iterator_HasNextMonitor @ AbstractRecognitor.java:146,35(20941),4(1056)
Iterator_HasNextMonitor @ AsianNameRecognitor.java:49,34(6958),6(357)
Iterator_HasNextMonitor @ BasicStatusManager.java:86,1(3),1(3)
Iterator_HasNextMonitor @ BasicTermNatures.java:46,13(26203),8(1323)
Iterator_HasNextMonitor @ BellmanFordShortestPath.java:99,91(48853),12(2435)
Iterator_HasNextMonitor @ BellmanFordShortestPath.java:121,12(560234),4(28179)
Iterator_HasNextMonitor @ BellmanFordShortestPath.java:122,13(711661),3(29998)
Iterator_HasNextMonitor @ BellmanFordShortestPath.java:146,2(48942),2(2511)
Iterator_HasNextMonitor @ BellmanFordShortestPath.java:147,1(39017),1(1980)
Iterator_HasNextMonitor @ BellmanFordShortestPath.java:160,91(48853),7(2449)
Iterator_HasNextMonitor @ CharTreeSegmenter.java:221,43(1079),9(62)
Iterator_HasNextMonitor @ CharTreeSegmenter.java:222,43(20789),2(1055)
Iterator_HasNextMonitor @ CharsetFileCorpus.java:51,1(79),1(19)
Iterator_HasNextMonitor @ CompanyRecognitor.java:34,34(6958),34(6958)
Iterator_HasNextMonitor @ ConnectivityInspector.java:110,73(100724),73(100724)
Iterator_HasNextMonitor @ CooccurrenceNPathGenerator.java:56,5(20827),3(1117)
Iterator_HasNextMonitor @ CooccurrenceNPathGenerator.java:63,5(20827),3(1118)
Iterator_HasNextMonitor @ CooccurrenceNPathGenerator.java:71,5(20827),2(1020)
Iterator_HasNextMonitor @ CrossComponentIterator.java:132,1(100796),1(5032)
Iterator_HasNextMonitor @ CrossComponentIterator.java:299,7(1288473),2(19998)
Iterator_HasNextMonitor @ DateTimeRecognitor.java:67,31(6961),7(377)
Iterator_HasNextMonitor @ DateTimeRecognitor.java:131,1(2447),1(159)
Iterator_HasNextMonitor @ DefaultTermGraph.java:164,37(6955),7(376)
Iterator_HasNextMonitor @ DefaultTermGraph.java:173,35(41917),6(2119)
Iterator_HasNextMonitor @ DefaultTermPath.java:112,5(15259),2(733)
Iterator_HasNextMonitor @ DefaultTermPath.java:211,39(41913),13(2107)
Iterator_HasNextMonitor @ EnvUtil.java:50,1(0),1(0)
Iterator_HasNextMonitor @ ForeignNameRecognitor.java:48,34(6958),6(383)
Iterator_HasNextMonitor @ ForeignNameRecognitor.java:98,1(15767),1(809)
Iterator_HasNextMonitor @ ForeignNameRecognitor.java:138,1(2821),1(135)
Iterator_HasNextMonitor @ ForeignNameRecognitor.java:146,1(2821),1(172)
Iterator_HasNextMonitor @ HMMTokenizer.java:144,1(1121),1(135)
Iterator_HasNextMonitor @ HMMTokenizer.java:146,7(6725),2(361)
Iterator_HasNextMonitor @ HMMTokenizer.java:156,7(1115),2(48)
Iterator_HasNextMonitor @ KShortestPaths.java:156,35(1087),35(1087)
Iterator_HasNextMonitor @ KShortestPaths.java:167,7(1115),3(66)
Iterator_HasNextMonitor @ KShortestPathsIterator.java:157,16(14062),7(745)
Iterator_HasNextMonitor @ KShortestPathsIterator.java:247,17(14061),1(698)
Iterator_HasNextMonitor @ KShortestPathsIterator.java:253,8(48036),6(2447)
Iterator_HasNextMonitor @ KShortestPathsIterator.java:329,4(45774),2(2353)
Iterator_HasNextMonitor @ LoggerContext.java:317,1(0),1(0)
Iterator_HasNextMonitor @ LoggerFactory.java:186,1(0),1(0)
Iterator_HasNextMonitor @ NatureRecognitor.java:36,30(6962),17(443)
Iterator_HasNextMonitor @ NatureRecognitor.java:38,13(84371),13(84371)
Iterator_HasNextMonitor @ NatureRecognitor.java:52,91(6901),91(6901)
Iterator_HasNextMonitor @ NatureRecognitor.java:53,91(226477),8(11256)
Iterator_HasNextMonitor @ NatureRecognitor.java:61,30(6962),11(351)
Iterator_HasNextMonitor @ NumberRecognitor.java:82,1(2463),1(113)
Iterator_HasNextMonitor @ NumberRecognitor.java:150,37(6955),37(6955)
Iterator_HasNextMonitor @ NumberRecognitor.java:152,1(2639),1(144)
Iterator_HasNextMonitor @ SimpleDetector.java:149,35(225),7(47)
Iterator_HasNextMonitor @ StatusUtil.java:59,1(0),1(0)
Iterator_HasNextMonitor @ StatusUtil.java:95,1(0),1(0)
Iterator_HasNextMonitor @ TFIDFKeywordExtractor.java:63,1(1),1(1)
Iterator_HasNextMonitor @ TFIDFKeywordExtractor.java:65,28(56),28(56)
Iterator_HasNextMonitor @ TFIDFKeywordExtractor.java:100,1(1),1(1)
Iterator_HasNextMonitor @ TestKeywords.java:41,1(1),1(1)
Iterator_HasNextMonitor @ TestPOS.java:79,2(2),2(1)
Iterator_HasNextMonitor @ TestPOS.java:81,38(78),38(78)
Iterator_HasNextMonitor @ TestPOS.java:92,12(32),12(32)
Iterator_HasNextMonitor @ TestSentence.java:31,1(1),1(1)
Iterator_HasNextMonitor @ TestSummarization.java:36,1(1),1(1)
Iterator_HasNextMonitor @ TextRankSummarization.java:69,1(1),1(1)
Iterator_HasNextMonitor @ TextRankSummarization.java:136,1(1),1(1)
Iterator_HasNextMonitor @ TextRankSummarization.java:182,28(1694),4(108)
Iterator_HasNextMonitor @ TextRankSummarization.java:183,28(40494),2(1894)
Iterator_HasNextMonitor @ TextRankSummarization.java:198,1(1),1(1)
Iterator_RemoveOnceMonitor @ AbstractNPathGenerator.java:54,7(1115),6(92)
Iterator_RemoveOnceMonitor @ AbstractRecognitor.java:75,1(363),1(35)
Iterator_RemoveOnceMonitor @ AbstractRecognitor.java:83,1(363),1(24)
Iterator_RemoveOnceMonitor @ AbstractRecognitor.java:102,5(1587),1(120)
Iterator_RemoveOnceMonitor @ AbstractRecognitor.java:109,2(1590),2(82)
Iterator_RemoveOnceMonitor @ AbstractRecognitor.java:117,2(1590),2(100)
Iterator_RemoveOnceMonitor @ AbstractRecognitor.java:146,35(20941),4(1105)
Iterator_RemoveOnceMonitor @ AsianNameRecognitor.java:49,34(6958),10(386)
Iterator_RemoveOnceMonitor @ BasicTermNatures.java:46,12(26118),9(1394)
Iterator_RemoveOnceMonitor @ BellmanFordShortestPath.java:99,91(48853),8(2547)
Iterator_RemoveOnceMonitor @ BellmanFordShortestPath.java:121,12(560234),4(28008)
