Loc,Total,Default
Iterator_HasNextMonitor @ FlexibleHashMap.java:87,1(4),1(4)
Iterator_HasNextMonitor @ FlexibleHashMap.java:104,2(10),2(7)
Iterator_HasNextMonitor @ FlexibleHashMap.java:138,2(5),2(5)
Iterator_HasNextMonitor @ GeneratorVisitor.java:124,5(399885),3(20134)
Iterator_HasNextMonitor @ GeneratorVisitor.java:140,9(35428),3(1779)
Iterator_HasNextMonitor @ GeneratorVisitor.java:166,5(0),5(0)
Iterator_HasNextMonitor @ GeneratorVisitor.java:220,49(290001),1(9999)
Iterator_HasNextMonitor @ GeneratorVisitor.java:221,95(895910),1(10000)
Iterator_HasNextMonitor @ GeneratorVisitor.java:231,3(380754),3(19007)
Iterator_HasNextMonitor @ IntervalSet.java:116,10(67),10(67)
Iterator_HasNextMonitor @ LexerATNSimulator.java:324,7(235),4(17)
Iterator_HasNextMonitor @ LexerATNSimulator.java:679,7(128),6(45)
Iterator_HasNextMonitor @ ParserATNSimulator.java:794,1(21),1(5)
Iterator_HasNextMonitor @ ParserATNSimulator.java:855,2(0),2(0)
Iterator_HasNextMonitor @ ParserATNSimulator.java:2031,3(20),3(16)
Iterator_HasNextMonitor @ ParserRuleContext.java:180,7(2365075),2(19999)
Iterator_HasNextMonitor @ ParserRuleContext.java:249,15(889840),4(39997)
Iterator_HasNextMonitor @ PredictionMode.java:278,2(0),2(0)
Iterator_HasNextMonitor @ PredictionMode.java:470,1(0),1(0)
Iterator_HasNextMonitor @ PredictionMode.java:548,1(0),1(0)
Iterator_RemoveOnceMonitor @ ATNConfigSet.java:215,2(15),2(6)
Iterator_RemoveOnceMonitor @ ATNDeserializer.java:171,1(1),1(1)
Iterator_RemoveOnceMonitor @ ATNDeserializer.java:175,2(0),2(0)
Iterator_RemoveOnceMonitor @ ATNDeserializer.java:223,2(0),2(0)
Iterator_RemoveOnceMonitor @ ATNDeserializer.java:286,2(0),2(0)
Iterator_RemoveOnceMonitor @ ATNDeserializer.java:306,2(0),1(0)
Iterator_RemoveOnceMonitor @ ATNDeserializer.java:506,2(0),2(0)
Iterator_RemoveOnceMonitor @ ATNDeserializer.java:528,2(0),2(0)
Iterator_RemoveOnceMonitor @ ATNState.java:171,12(20),12(20)
Iterator_RemoveOnceMonitor @ FlexibleHashMap.java:87,1(4),1(4)
Iterator_RemoveOnceMonitor @ FlexibleHashMap.java:104,1(4),1(4)
Iterator_RemoveOnceMonitor @ FlexibleHashMap.java:138,2(5),1(5)
Iterator_RemoveOnceMonitor @ GeneratorVisitor.java:124,5(399885),3(20083)
Iterator_RemoveOnceMonitor @ GeneratorVisitor.java:140,9(35428),3(1743)
Iterator_RemoveOnceMonitor @ GeneratorVisitor.java:166,5(0),5(0)
Iterator_RemoveOnceMonitor @ GeneratorVisitor.java:220,49(290001),7(14354)
Iterator_RemoveOnceMonitor @ GeneratorVisitor.java:221,95(895910),3(29997)
Iterator_RemoveOnceMonitor @ GeneratorVisitor.java:231,2(380755),2(19223)
Iterator_RemoveOnceMonitor @ IntervalSet.java:117,7(25),7(25)
Iterator_RemoveOnceMonitor @ LexerATNSimulator.java:324,7(235),4(22)
Iterator_RemoveOnceMonitor @ LexerATNSimulator.java:679,7(128),6(40)
Iterator_RemoveOnceMonitor @ ParserATNSimulator.java:794,1(21),1(17)
Iterator_RemoveOnceMonitor @ ParserATNSimulator.java:855,2(0),2(0)
Iterator_RemoveOnceMonitor @ ParserATNSimulator.java:2031,3(20),3(20)
Iterator_RemoveOnceMonitor @ ParserRuleContext.java:180,6(2365076),2(19998)
Iterator_RemoveOnceMonitor @ ParserRuleContext.java:249,15(889840),4(39997)
Iterator_RemoveOnceMonitor @ PredictionMode.java:278,1(1),1(1)
Iterator_RemoveOnceMonitor @ PredictionMode.java:470,1(0),1(0)
