Loc,Total,Default
Collection_UnsafeIteratorMonitor @ Implementation.java:1227,2(1),2(1)
Collection_UnsafeIteratorMonitor @ Implementation.java:1239,2(1),2(1)
Collection_UnsafeIteratorMonitor @ Implementation.java:1242,1(2),1(2)
Collection_UnsafeIteratorMonitor @ Implementation.java:1245,1(2),1(2)
Collection_UnsafeIteratorMonitor @ Iterables.java:31,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Iterables.java:92,3(2),3(2)
Collection_UnsafeIteratorMonitor @ LatentMatcher.java:336,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:114,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:128,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:202,1(9),1(9)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:205,3(7),3(7)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:211,1(4),1(4)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:217,2(8),2(8)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:470,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodAttributeAppender.java:483,1(7),1(7)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:132,1(1),1(1)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:173,1(1),1(1)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:319,1(1),1(1)
Collection_UnsafeIteratorMonitor @ MethodCallProxy.java:407,1(3),1(3)
Collection_UnsafeIteratorMonitor @ MethodConstant.java:140,3(5),3(5)
Collection_UnsafeIteratorMonitor @ MethodDelegation.java:949,2(2),2(2)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:536,3(9),3(9)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:968,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:982,1(1),1(1)
Collection_UnsafeIteratorMonitor @ MethodDelegationBinder.java:1092,2(8),2(7)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:524,3(25),2(5)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:538,1(21),1(3)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:549,3(19),2(7)
Collection_UnsafeIteratorMonitor @ MethodDescription.java:1987,1(7),1(7)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:641,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:714,3(2),3(2)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1019,1(75),1(8)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1189,4(0),4(0)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1212,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1234,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodGraph.java:1251,4(0),4(0)
Collection_UnsafeIteratorMonitor @ MethodList.java:89,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:458,2(1),2(1)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:479,2(1),2(1)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:483,4(12),4(12)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:505,1(2),1(2)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:508,4(2),3(2)
Collection_UnsafeIteratorMonitor @ MethodRegistry.java:738,2(1),2(1)
Collection_UnsafeIteratorMonitor @ MethodVariableAccess.java:233,1(4),1(4)
Collection_UnsafeIteratorMonitor @ ModifierContributor.java:202,4(37),4(14)
Collection_UnsafeIteratorMonitor @ MultipleParentClassLoader.java:353,4(0),4(0)
Collection_UnsafeIteratorMonitor @ MultipleParentClassLoader.java:381,4(1),4(1)
Collection_UnsafeIteratorMonitor @ MultipleParentClassLoader.java:387,6(8),6(6)
Collection_UnsafeIteratorMonitor @ MultipleParentClassLoader.java:395,3(4),3(3)
Collection_UnsafeIteratorMonitor @ NonLeafHelper.java:63,8(113139),4(5575)
Collection_UnsafeIteratorMonitor @ ParameterList.java:82,2(19),2(8)
Collection_UnsafeIteratorMonitor @ ParameterList.java:95,3(6),3(6)
Collection_UnsafeIteratorMonitor @ ParameterList.java:106,4(367),4(25)
Collection_UnsafeIteratorMonitor @ ParameterList.java:536,1(25),1(15)
Collection_UnsafeIteratorMonitor @ RTree.java:478,6(10017),2(573)
Collection_UnsafeIteratorMonitor @ RTree.java:497,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RTree.java:512,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RTree.java:929,2(0),2(0)
Collection_UnsafeIteratorMonitor @ RTree.java:964,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RecordComponentRegistry.java:130,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RxJavaPlugins.java:301,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SplitterQuadratic.java:83,182(341583),12(17277)
Collection_UnsafeIteratorMonitor @ SplitterRStar.java:79,2(53906),1(2788)
Collection_UnsafeIteratorMonitor @ StackManipulation.java:216,7(136),1(8)
Collection_UnsafeIteratorMonitor @ StackManipulation.java:229,4(133),1(11)
Collection_UnsafeIteratorMonitor @ StackManipulation.java:242,10(73),10(26)
Collection_UnsafeIteratorMonitor @ StreamImpl.java:20,6(117154),3(5876)
Collection_UnsafeIteratorMonitor @ SubclassDynamicTypeBuilder.java:242,2(1),2(1)
Collection_UnsafeIteratorMonitor @ SubscriptionList.java:134,1(95),1(10)
Collection_UnsafeIteratorMonitor @ TargetMethodAnnotationDrivenBinder.java:84,3(2),3(2)
