Collection_UnsafeIterator @ PropSizeMaxCC.java:192: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:114: 3 Unique Traces, 21 Redundant Traces, 3 Preserved, 21 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:128: 4 Unique Traces, 16 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:143: 1 Unique Traces, 21 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:146: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:228: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:237: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:238: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ PropSizeMinCC.java:319: 3 Unique Traces, 28 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ SymmetryBreakingTest.java:56: 13 Unique Traces, 901 Redundant Traces, 6 Preserved, 113 Remained 
Collections_SortBeforeBinarySearch @ DecisionPath.java:55: 199 Unique Traces, 637 Redundant Traces, 199 Preserved, 637 Remained 
Collections_SortBeforeBinarySearch @ GraphModel.java:86: 1 Unique Traces, 324 Redundant Traces, 1 Preserved, 39 Remained 
Collections_SortBeforeBinarySearch @ IResolutionHelper.java:144: 4 Unique Traces, 0 Redundant Traces, 4 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Search.java:457: 9 Unique Traces, 147 Redundant Traces, 4 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ Search.java:487: 2 Unique Traces, 154 Redundant Traces, 2 Preserved, 16 Remained 
Collections_SortBeforeBinarySearch @ Search.java:511: 1 Unique Traces, 168 Redundant Traces, 1 Preserved, 15 Remained 
Collections_SortBeforeBinarySearch @ SearchMonitorList.java:176: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SearchMonitorList.java:188: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SearchMonitorList.java:191: 0 Unique Traces, 0 Redundant Traces, 0 Preserved, 0 Remained 
