Map_CollectionViewAdd @ TestMapIterator.java:23: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 52 Remained 
Map_CollectionViewAdd @ TestMapIterator.java:30: 1 Unique Traces, 98 Redundant Traces, 1 Preserved, 9 Remained 
Map_CollectionViewAdd @ TestMultiThreadMapIterator.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ TestMultiThreadMapIterator.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ TrieMap.java:1786: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ TestHashCollisionsRemoveIterator.java:21: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ TestMapIterator.java:23: 198 Unique Traces, 0 Redundant Traces, 198 Preserved, 0 Remained 
Map_UnsafeIterator @ TestMapIterator.java:30: 198 Unique Traces, 0 Redundant Traces, 198 Preserved, 0 Remained 
Map_UnsafeIterator @ TestMapIterator.java:37: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Map_UnsafeIterator @ TestMapIterator.java:46: 99 Unique Traces, 0 Redundant Traces, 99 Preserved, 0 Remained 
Map_UnsafeIterator @ TestMultiThreadMapIterator.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ TestMultiThreadMapIterator.java:100: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ TestMultiThreadMapIterator.java:104: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ TrieMap.java:1786: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
OutputStream_ManipulateAfterClose @ TestSerialization.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ TestInstantiationSpeed.java:37: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ TestMultiThreadMapIterator.java:28: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Throwable_InitCauseOnce @ TrieMap.java:1479: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
