Collection_UnsafeIterator @ ImmutableStringObjectMapTest.java:71: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringObjectMapTest.java:76: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ImmutableStringStringMap.java:82: 3 Unique Traces, 48 Redundant Traces, 3 Preserved, 18 Remained 
Collection_UnsafeIterator @ ImmutableStringStringMap.java:103: 8 Unique Traces, 1033 Redundant Traces, 8 Preserved, 1033 Remained 
Collection_UnsafeIterator @ LevenshteinAutomaton.java:109: 7 Unique Traces, 2277536 Redundant Traces, 5 Preserved, 69995 Remained 
Collection_UnsafeIterator @ LevenshteinAutomaton.java:153: 3 Unique Traces, 297497 Redundant Traces, 1 Preserved, 14807 Remained 
Collection_UnsafeIterator @ LevenshteinAutomatonState.java:136: 6 Unique Traces, 70589 Redundant Traces, 3 Preserved, 3506 Remained 
Collection_UnsafeIterator @ LevenshteinAutomatonState.java:148: 6 Unique Traces, 65019 Redundant Traces, 2 Preserved, 3318 Remained 
Collection_UnsafeIterator @ LevenshteinAutomatonState.java:153: 4 Unique Traces, 65021 Redundant Traces, 2 Preserved, 3305 Remained 
Collection_UnsafeIterator @ LevenshteinAutomatonState.java:164: 5 Unique Traces, 65020 Redundant Traces, 2 Preserved, 3120 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:158: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 22 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:187: 1 Unique Traces, 131 Redundant Traces, 1 Preserved, 42 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:190: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 14 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:204: 1 Unique Traces, 131 Redundant Traces, 1 Preserved, 53 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:205: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 17 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:212: 1 Unique Traces, 131 Redundant Traces, 1 Preserved, 22 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:218: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 7 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:254: 2 Unique Traces, 130 Redundant Traces, 2 Preserved, 65 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:308: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:330: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:361: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ MapInterfaceTest.java:467: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
