jcunit,"Optimal alpha = 0.99, Optimal epsilon = 0.99"
,"Unique Traces = 7457, Time = 1506.47 s"
JaroWinklerSimilarity,"Optimal alpha = 0.99, Optimal epsilon = 0.99"
,"Unique Traces = 11101, Time = 1166.985 s"
QLExpress,"Optimal alpha = 0.99, Optimal epsilon = 0.01"
,"Unique Traces = 134347, Time = 1953.986 s"
Fuzzino,"Optimal alpha = 0.99, Optimal epsilon = 0.87"
,"Unique Traces = 6769, Time = 856.442 s"
choco-graph,"Optimal alpha = 0.99, Optimal epsilon = 0.44"
,"Unique Traces = 10097, Time = 1152.879 s"
SparseBitSet,"Optimal alpha = 0.72, Optimal epsilon = 0.20"
,"Unique Traces = 21597, Time = 2387.348 s"
asterisk-java,"Optimal alpha = 0.53, Optimal epsilon = 0.01"
,"Unique Traces = 4434, Time = 815.728 s"
java-vector-tile,"Optimal alpha = 0.99, Optimal epsilon = 0.01"
,"Unique Traces = 2555, Time = 570.011 s"
finmath-lib,"Optimal alpha = 0.02, Optimal epsilon = 0.07"
,Unique Traces = 7529
java-future-jdk8,"Optimal alpha = 0.71, Optimal epsilon = 0.14"
,Unique Traces = 125
orientdb-jdbc,
,Unique Traces = 864710
