CharSequence_NotInMap @ AnalyticModelWithVolatilityCubes.java:57: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 33 Remained 
Collection_UnsafeIterator @ DataTableLight.java:142: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 7 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:210: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:214: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:226: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:236: 1 Unique Traces, 22 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:319: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:324: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 31 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:364: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:365: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:398: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:409: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:410: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:459: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:460: 1 Unique Traces, 32 Redundant Traces, 1 Preserved, 29 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:496: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:497: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:529: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:530: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:337: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:348: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:445: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ SABRShiftedSmileCalibration.java:395: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ SwaptionDataLattice.java:446: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 73 Redundant Traces, 1 Preserved, 26 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:276: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:277: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:278: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:279: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:280: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:332: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:333: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:334: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:418: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:419: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:420: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:428: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:429: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:430: 2 Unique Traces, 10 Redundant Traces, 2 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:470: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:471: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:472: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:507: 2 Unique Traces, 9 Redundant Traces, 2 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:508: 2 Unique Traces, 5 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:509: 2 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:296: 23 Unique Traces, 28417 Redundant Traces, 23 Preserved, 28417 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:340: 1 Unique Traces, 10 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:509: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ DataTableLight.java:142: 1 Unique Traces, 34 Redundant Traces, 1 Preserved, 27 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:210: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:214: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:226: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 10 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:236: 1 Unique Traces, 51 Redundant Traces, 1 Preserved, 51 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:319: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:324: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:364: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:365: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:398: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:409: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:410: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 11 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:459: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:460: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 22 Remained 
Iterator_HasNext @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
