Collection_UnsynchronizedAddAll @ SABRCubeCalibration.java:381: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsynchronizedAddAll @ SABRShiftedSmileCalibration.java:395: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ SwaptionDataLattice.java:446: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ SwaptionDataLattice.java:491: 1 Unique Traces, 25 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 74 Redundant Traces, 1 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 2 Unique Traces, 394 Redundant Traces, 1 Preserved, 145 Remained 
Collections_SortBeforeBinarySearch @ SABRCubeCalibration.java:251: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRCubeCalibration.java:252: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRCubeCalibration.java:253: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRCubeCalibration.java:368: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRCubeCalibration.java:369: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SABRCubeCalibration.java:375: 2 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRCubeCalibration.java:376: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:276: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:280: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:332: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:333: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:334: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:418: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:419: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:420: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:428: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:429: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:430: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:470: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:471: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:472: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:507: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
