Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:371: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:392: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:393: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:395: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:428: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:429: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:430: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:452: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:453: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRVolatilityCubeTest.java:454: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ ScheduleGenerator.java:296: 40 Unique Traces, 10102 Redundant Traces, 12 Preserved, 552 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:280: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:281: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:340: 1 Unique Traces, 28 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:509: 2 Unique Traces, 238 Redundant Traces, 2 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:129: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:130: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:131: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:132: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:190: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:191: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:193: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:196: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableLight.java:201: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Iterator_HasNext @ DataTableLight.java:204: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ DataTableLight.java:206: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 8 Remained 
Iterator_HasNext @ SABRVolatilityCubeTest.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRVolatilityCubeTest.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRVolatilityCubeTest.java:330: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:337: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:348: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:445: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:490: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ DataTableLight.java:201: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 5 Remained 
Iterator_RemoveOnce @ DataTableLight.java:204: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 12 Remained 
Iterator_RemoveOnce @ DataTableLight.java:206: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 47 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeTest.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeTest.java:317: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SABRVolatilityCubeTest.java:330: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:337: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:348: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:445: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_RemoveOnce @ SwaptionDataLattice.java:490: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:337: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:348: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:401: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 4 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:445: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:490: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:277: 2 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:337: 4 Unique Traces, 6 Redundant Traces, 2 Preserved, 2 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:348: 3 Unique Traces, 7 Redundant Traces, 2 Preserved, 3 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:445: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 2 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:490: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:202: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 99 Remained 
StringBuilder_ThreadSafe @ DataTableLight.java:205: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 74 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:100: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:175: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:233: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:234: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:236: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:240: 1 Unique Traces, 8 Redundant Traces, 1 Preserved, 8 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:249: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:282: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:292: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:321: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ SABRVolatilityCubeTest.java:333: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
