StringBuilder_ThreadSafe @ CalibrationMultiCurveTest.java:113: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ CalibrationMultiCurveTest.java:126: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ CalibrationMultiCurveTest.java:127: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ CalibrationMultiCurveTest.java:136: 1 Unique Traces, 15 Redundant Traces, 1 Preserved, 9 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:161: 1 Unique Traces, 166 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:578: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 37 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:579: 1 Unique Traces, 83 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ CurveInterpolation.java:582: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ DiscountCurveInterpolation.java:452: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ForwardCurveInterpolation.java:407: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringTokenizer_HasMoreElements @ AbstractBusinessdayCalendar.java:87: 1 Unique Traces, 575 Redundant Traces, 1 Preserved, 41 Remained 
