Appendable_ThreadSafe @ RandomVariableFromArrayFactory.java:64: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 10 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 40 Unique Traces, 1400 Redundant Traces, 40 Preserved, 1400 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelFromCovarianceModel.java:960: 1 Unique Traces, 35 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelValuationTest.java:732: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 23 Redundant Traces, 1 Preserved, 5 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:120: 1 Unique Traces, 12793 Redundant Traces, 1 Preserved, 648 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 7978 Redundant Traces, 1 Preserved, 397 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAD.java:115: 1 Unique Traces, 12793 Redundant Traces, 1 Preserved, 676 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAD.java:121: 1 Unique Traces, 7978 Redundant Traces, 1 Preserved, 421 Remained 
StringBuilder_ThreadSafe @ AbstractRandomVariableDifferentiableFactory.java:67: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 1531 Redundant Traces, 1 Preserved, 79 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:175: 1 Unique Traces, 643 Redundant Traces, 1 Preserved, 39 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:182: 1 Unique Traces, 643 Redundant Traces, 1 Preserved, 49 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:186: 1 Unique Traces, 643 Redundant Traces, 1 Preserved, 35 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:195: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:228: 1 Unique Traces, 627 Redundant Traces, 1 Preserved, 61 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:244: 1 Unique Traces, 627 Redundant Traces, 1 Preserved, 75 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:249: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:285: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 92 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:301: 1 Unique Traces, 119 Redundant Traces, 1 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:306: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:337: 1 Unique Traces, 151 Redundant Traces, 1 Preserved, 41 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:347: 1 Unique Traces, 151 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:351: 1 Unique Traces, 151 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:356: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:377: 1 Unique Traces, 135 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:407: 1 Unique Traces, 135 Redundant Traces, 1 Preserved, 15 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:412: 1 Unique Traces, 135 Redundant Traces, 1 Preserved, 17 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:416: 1 Unique Traces, 135 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:421: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:442: 1 Unique Traces, 151 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:472: 1 Unique Traces, 151 Redundant Traces, 1 Preserved, 11 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:477: 1 Unique Traces, 151 Redundant Traces, 1 Preserved, 27 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:481: 1 Unique Traces, 151 Redundant Traces, 1 Preserved, 59 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:486: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:537: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 26 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:552: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 26 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:553: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 13 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:554: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 43 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:555: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 21 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:556: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 5 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:557: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 23 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:562: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelValuationTest.java:616: 1 Unique Traces, 59 Redundant Traces, 1 Preserved, 35 Remained 
