Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:279: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:280: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:281: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:340: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ SwaptionDataLattice.java:509: 2 Unique Traces, 143 Redundant Traces, 1 Preserved, 24 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:129: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:130: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:131: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:132: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:190: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:191: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:193: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:194: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:196: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ Utils.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ DataTableBasic.java:193: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ DataTableLight.java:201: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ DataTableLight.java:204: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 3 Remained 
Iterator_HasNext @ DataTableLight.java:206: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 37 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:174: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:175: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:190: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SABRVolatilityCubeParallelFactory.java:191: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ SABRVolatilityCubeSharedParametersTest.java:236: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:277: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:337: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 2 Remained 
Iterator_HasNext @ SwaptionDataLattice.java:348: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Iterator_RemoveOnce @ DataTableBasic.java:193: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 6 Remained 
