Iterator_HasNext @ ParameterAggregation.java:85: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ ParameterAggregation.java:95: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 43016415 Redundant Traces, 3 Preserved, 29997 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:85: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ ParameterAggregation.java:95: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 43016415 Redundant Traces, 3 Preserved, 29997 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationAADTest.java:155: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationAADTest.java:398: 1 Unique Traces, 307 Redundant Traces, 1 Preserved, 41 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationAADTest.java:467: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationAADTest.java:475: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationAADTest.java:523: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationAADTest.java:714: 1 Unique Traces, 287 Redundant Traces, 1 Preserved, 28 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelCalibrationAADTest.java:731: 1 Unique Traces, 287 Redundant Traces, 1 Preserved, 53 Remained 
