Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:226: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:311: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:313: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:394: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 1 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:395: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:337: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:348: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_CollectionViewAdd @ SwaptionDataLattice.java:445: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:226: 39 Unique Traces, 39 Redundant Traces, 39 Preserved, 39 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:236: 36 Unique Traces, 39 Redundant Traces, 36 Preserved, 39 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:453: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SABRShiftedSmileCalibration.java:490: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:337: 4 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:348: 3 Unique Traces, 3 Redundant Traces, 2 Preserved, 1 Remained 
Map_UnsafeIterator @ SwaptionDataLattice.java:445: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 1 Remained 
StringBuilder_ThreadSafe @ AbstractSingleSwapRateProduct.java:128: 1 Unique Traces, 203 Redundant Traces, 1 Preserved, 28 Remained 
StringBuilder_ThreadSafe @ BasicPiterbargAnnuityMapping.java:100: 1 Unique Traces, 101 Redundant Traces, 1 Preserved, 7 Remained 
StringBuilder_ThreadSafe @ ConstantMaturitySwapTest.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ConstantMaturitySwapTest.java:116: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ ConstantMaturitySwapTest.java:241: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ConstantMaturitySwapTest.java:242: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ConstantMaturitySwapTest.java:243: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ConstantMaturitySwapTest.java:245: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
StringBuilder_ThreadSafe @ ConstantMaturitySwapTest.java:248: 1 Unique Traces, 149 Redundant Traces, 1 Preserved, 12 Remained 
StringBuilder_ThreadSafe @ ForwardCurveFromDiscountCurve.java:153: 1 Unique Traces, 101 Redundant Traces, 1 Preserved, 20 Remained 
StringBuilder_ThreadSafe @ MultiPiterbargAnnuityMapping.java:75: 1 Unique Traces, 50 Redundant Traces, 1 Preserved, 19 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:435: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:437: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:477: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 14 Remained 
StringBuilder_ThreadSafe @ SABRShiftedSmileCalibration.java:514: 1 Unique Traces, 14 Redundant Traces, 1 Preserved, 3 Remained 
Throwable_InitCauseOnce @ LUDecomposition.java:334: 1 Unique Traces, 80 Redundant Traces, 1 Preserved, 13 Remained 
