Appendable_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:844: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:847: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Appendable_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:848: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Appendable_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:877: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:878: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:900: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Appendable_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:901: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ LIBORMarketModelFromCovarianceModel.java:1728: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 560980 Redundant Traces, 2 Preserved, 27978 Remained 
Collections_SortBeforeBinarySearch @ BermudanSwaption.java:221: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 23 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:474: 2 Unique Traces, 49 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ CurveInterpolation.java:479: 2 Unique Traces, 49 Redundant Traces, 2 Preserved, 11 Remained 
Collections_SortBeforeBinarySearch @ EulerSchemeFromProcessModel.java:216: 80 Unique Traces, 15920 Redundant Traces, 10 Preserved, 885 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelFromCovarianceModel.java:960: 1 Unique Traces, 49 Redundant Traces, 1 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ LIBORMarketModelNormalAADSensitivitiesTest.java:133: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ LIBORVolatilityModelFromGivenMatrix.java:166: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ LinearAlgebra.java:408: 1 Unique Traces, 99 Redundant Traces, 1 Preserved, 13 Remained 
Collections_SortBeforeBinarySearch @ RandomVariableDifferentiableAAD.java:126: 1 Unique Traces, 761 Redundant Traces, 1 Preserved, 80 Remained 
Iterator_HasNext @ LIBORMarketModelFromCovarianceModel.java:1728: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 560980 Redundant Traces, 3 Preserved, 28319 Remained 
Iterator_RemoveOnce @ RandomVariableDifferentiableAAD.java:688: 3 Unique Traces, 560980 Redundant Traces, 2 Preserved, 28088 Remained 
Map_CollectionViewAdd @ LIBORMarketModelFromCovarianceModel.java:1728: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Map_CollectionViewAdd @ LIBORMarketModelNormalAADSensitivitiesTest.java:777: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 2 Remained 
Map_UnsafeIterator @ LIBORMarketModelFromCovarianceModel.java:1728: 2 Unique Traces, 8 Redundant Traces, 2 Preserved, 3 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:54: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ DiscountCurveFromForwardCurve.java:72: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelFromCovarianceModel.java:1714: 1 Unique Traces, 399 Redundant Traces, 1 Preserved, 41 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelFromCovarianceModel.java:1722: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:147: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:161: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:427: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:537: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
StringBuilder_ThreadSafe @ LIBORMarketModelNormalAADSensitivitiesTest.java:538: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
