Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:453: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:459: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:460: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 18 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:490: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:496: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:497: 1 Unique Traces, 24 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:529: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SABRShiftedSmileCalibration.java:530: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:337: 4 Unique Traces, 2 Redundant Traces, 4 Preserved, 1 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:348: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ SwaptionDataLattice.java:445: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ SABRShiftedSmileCalibration.java:395: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsynchronizedAddAll @ SwaptionDataLattice.java:446: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:86: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 53 Remained 
Collections_SortBeforeBinarySearch @ ExceptionContext.java:87: 1 Unique Traces, 76 Redundant Traces, 1 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ LevenbergMarquardt.java:606: 1 Unique Traces, 426 Redundant Traces, 1 Preserved, 67 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:276: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:277: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:278: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:279: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:280: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:332: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:333: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:334: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:418: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:419: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:420: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:428: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:429: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:430: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:470: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:471: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:472: 1 Unique Traces, 4 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:507: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:508: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibration.java:509: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:156: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:169: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:170: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:204: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:205: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ SABRShiftedSmileCalibrationTest.java:266: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
