Iterator_HasNext @ Builder.java:213: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Iterator_HasNext @ Collections.java:911: 2 Unique Traces, 535 Redundant Traces, 1 Preserved, 41 Remained 
Iterator_HasNext @ Collections.java:921: 17 Unique Traces, 351 Redundant Traces, 7 Preserved, 27 Remained 
Iterator_HasNext @ Collections.java:945: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Collections.java:954: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FunctionalImpl.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FunctionalImpl.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FunctionalImpl.java:193: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 15 Remained 
Iterator_HasNext @ FunctionalImpl.java:228: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FunctionalImpl.java:268: 8 Unique Traces, 22 Redundant Traces, 5 Preserved, 4 Remained 
Iterator_HasNext @ FunctionalImpl.java:313: 14 Unique Traces, 20 Redundant Traces, 4 Preserved, 1 Remained 
Iterator_HasNext @ FunctionalImpl.java:367: 2 Unique Traces, 19 Redundant Traces, 2 Preserved, 13 Remained 
Iterator_HasNext @ FunctionalImpl.java:371: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ FunctionalImpl.java:437: 2 Unique Traces, 134 Redundant Traces, 1 Preserved, 30 Remained 
Iterator_HasNext @ FunctionalTest.java:307: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ Iterables.java:62: 5 Unique Traces, 4 Redundant Traces, 5 Preserved, 4 Remained 
Iterator_HasNext @ Iterables.java:325: 100 Unique Traces, 255 Redundant Traces, 10 Preserved, 37 Remained 
Iterator_HasNext @ Iterables.java:337: 3 Unique Traces, 134 Redundant Traces, 1 Preserved, 13 Remained 
Iterator_HasNext @ Iterables.java:353: 5 Unique Traces, 150 Redundant Traces, 3 Preserved, 19 Remained 
Iterator_HasNext @ Iterables.java:357: 12 Unique Traces, 394 Redundant Traces, 8 Preserved, 121 Remained 
Iterator_HasNext @ Iterables.java:424: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ Iterables.java:489: 4 Unique Traces, 20 Redundant Traces, 3 Preserved, 5 Remained 
Iterator_HasNext @ Iterables.java:547: 20 Unique Traces, 344 Redundant Traces, 3 Preserved, 29 Remained 
Iterator_HasNext @ Iterables.java:676: 20 Unique Traces, 65 Redundant Traces, 13 Preserved, 34 Remained 
Iterator_HasNext @ Iterables.java:711: 5 Unique Traces, 15 Redundant Traces, 2 Preserved, 7 Remained 
Iterator_HasNext @ Iterables.java:713: 1 Unique Traces, 68 Redundant Traces, 1 Preserved, 17 Remained 
Iterator_HasNext @ Iterables.java:740: 7 Unique Traces, 16 Redundant Traces, 2 Preserved, 4 Remained 
Iterator_HasNext @ Iterables.java:801: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 29 Remained 
Iterator_HasNext @ Iterables.java:878: 15 Unique Traces, 29 Redundant Traces, 3 Preserved, 4 Remained 
Iterator_HasNext @ Iterables.java:887: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Iterator_HasNext @ Iterables.java:931: 31 Unique Traces, 28 Redundant Traces, 13 Preserved, 9 Remained 
Iterator_HasNext @ Match.java:227: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Iterator_HasNext @ SortTest.java:30: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_HasNext @ SortTest.java:33: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 4 Remained 
Iterator_HasNext @ Tuple.java:934: 2 Unique Traces, 23 Redundant Traces, 2 Preserved, 23 Remained 
Iterator_RemoveOnce @ Builder.java:213: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Iterator_RemoveOnce @ Collections.java:911: 1 Unique Traces, 535 Redundant Traces, 1 Preserved, 44 Remained 
Iterator_RemoveOnce @ Collections.java:921: 11 Unique Traces, 353 Redundant Traces, 3 Preserved, 29 Remained 
Iterator_RemoveOnce @ Collections.java:945: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ Collections.java:954: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FunctionalImpl.java:114: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FunctionalImpl.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Iterator_RemoveOnce @ FunctionalImpl.java:193: 1 Unique Traces, 16 Redundant Traces, 1 Preserved, 16 Remained 
Iterator_RemoveOnce @ FunctionalImpl.java:229: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
