Loc,Total,Default
Iterator_HasNextMonitor @ AnnotatedMethodCollector.java:158,1(50017),1(2494)
Iterator_HasNextMonitor @ AnnotationMap.java:99,1(5),1(5)
Iterator_HasNextMonitor @ AnnotationMap.java:103,1(5),1(5)
Iterator_HasNextMonitor @ AntPathPropertyFilter.java:154,10(340116),4(17109)
Iterator_HasNextMonitor @ AntPathPropertyFilter.java:163,4(180046),2(9064)
Iterator_HasNextMonitor @ BasicDeserializerFactory.java:1978,1(2),1(2)
Iterator_HasNextMonitor @ BasicDeserializerFactory.java:2007,1(0),1(0)
Iterator_HasNextMonitor @ BasicDeserializerFactory.java:2051,1(0),1(0)
Iterator_HasNextMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
Iterator_HasNextMonitor @ BasicSerializerFactory.java:695,1(5006),1(331)
Iterator_HasNextMonitor @ BeanDeserializerFactory.java:184,1(0),1(0)
Iterator_HasNextMonitor @ BeanSerializerFactory.java:206,1(80028),1(4138)
Iterator_HasNextMonitor @ BeanSerializerFactory.java:589,3(50014),2(2531)
Iterator_HasNextMonitor @ BeanSerializerFactory.java:696,3(50014),3(2578)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:346,4(50014),2(2533)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:358,4(50014),2(2479)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:393,3(50015),2(2465)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:487,1(0),1(0)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:495,2(30008),1(1528)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:555,4(50014),1(2496)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:690,3(50015),2(2531)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:694,4(50014),2(2599)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:753,4(50014),4(2550)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:788,4(50014),3(2610)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:824,4(50014),2(2601)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:1012,2(30008),2(1577)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:1072,1(30009),1(1610)
Iterator_HasNextMonitor @ POJOPropertiesCollector.java:1090,4(50014),4(2524)
Iterator_HasNextMonitor @ ReadOnlyClassToSerializerMap.java:32,2(30009),2(1587)
Iterator_HasNextMonitor @ SimpleFilterProvider.java:61,1(30009),1(1598)
Iterator_RemoveOnceMonitor @ AnnotatedClassResolver.java:174,3(15031),2(758)
Iterator_RemoveOnceMonitor @ AnnotatedClassResolver.java:197,1(125048),1(6252)
Iterator_RemoveOnceMonitor @ AnnotatedClassResolver.java:251,5(65029),2(3247)
Iterator_RemoveOnceMonitor @ AnnotatedFieldCollector.java:53,3(50015),3(2431)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:52,1(0),1(0)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:74,4(50014),4(2573)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:97,4(50014),2(2509)
Iterator_RemoveOnceMonitor @ AnnotatedMethodCollector.java:158,1(50017),1(2564)
Iterator_RemoveOnceMonitor @ AnnotationMap.java:99,1(5),1(5)
Iterator_RemoveOnceMonitor @ AnnotationMap.java:103,1(5),1(5)
Iterator_RemoveOnceMonitor @ AntPathPropertyFilter.java:154,6(340120),3(17072)
Iterator_RemoveOnceMonitor @ AntPathPropertyFilter.java:163,2(180048),2(9015)
Iterator_RemoveOnceMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
Iterator_RemoveOnceMonitor @ BeanSerializerFactory.java:589,3(50014),2(2517)
Iterator_RemoveOnceMonitor @ BeanSerializerFactory.java:697,3(50014),3(2585)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:346,4(50014),4(2606)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:358,4(50014),2(2466)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:393,3(50015),3(2487)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:487,1(0),1(0)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:495,2(30008),2(1535)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:555,4(50014),2(2534)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:690,3(50015),2(2544)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:694,4(50014),4(2471)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:754,4(50014),2(2520)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:789,4(50014),1(2474)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:825,4(50014),2(2628)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:1012,2(30008),2(1594)
Iterator_RemoveOnceMonitor @ POJOPropertiesCollector.java:1090,4(50014),4(2502)
Iterator_RemoveOnceMonitor @ ReadOnlyClassToSerializerMap.java:32,1(0),1(0)
Map_CollectionViewAddMonitor @ AnnotatedFieldCollector.java:53,1(50017),1(2567)
Map_CollectionViewAddMonitor @ AnnotatedMethodCollector.java:74,1(50017),1(2643)
Map_CollectionViewAddMonitor @ AnnotatedMethodMap.java:57,1(50017),1(2531)
Map_CollectionViewAddMonitor @ AnnotationMap.java:99,1(5),1(2)
Map_CollectionViewAddMonitor @ AnnotationMap.java:103,1(5),1(5)
Map_CollectionViewAddMonitor @ POJOPropertiesCollector.java:752,3(50015),2(2586)
Map_CollectionViewAddMonitor @ POJOPropertiesCollector.java:822,1(50017),1(2574)
Map_CollectionViewAddMonitor @ ReadOnlyClassToSerializerMap.java:32,2(30008),2(1598)
Map_CollectionViewAddMonitor @ SimpleFilterProvider.java:61,1(30009),1(1471)
Map_CollectionViewAddMonitor @ StdJdkSerializers.java:64,1(0),1(0)
Map_UnsafeIteratorMonitor @ AnnotatedFieldCollector.java:53,4(100032),3(5047)
Map_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:74,5(100031),3(5117)
Map_UnsafeIteratorMonitor @ AnnotatedMethodCollector.java:97,4(50014),4(2471)
Map_UnsafeIteratorMonitor @ AnnotatedMethodMap.java:57,9(150045),4(7485)
Map_UnsafeIteratorMonitor @ AnnotationMap.java:99,2(10),2(3)
Map_UnsafeIteratorMonitor @ AnnotationMap.java:103,2(10),2(10)
Map_UnsafeIteratorMonitor @ BasicSerializerFactory.java:93,1(0),1(0)
Map_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:346,4(50014),4(2570)
Map_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:358,4(50014),4(2517)
Map_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:752,10(100026),4(4975)
Map_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:786,5(50013),2(2522)
Map_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:822,6(100030),4(4878)
Map_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:1012,2(30008),1(1475)
Map_UnsafeIteratorMonitor @ POJOPropertiesCollector.java:1090,4(50014),4(2512)
Map_UnsafeIteratorMonitor @ ReadOnlyClassToSerializerMap.java:32,12(60009),12(60009)
Map_UnsafeIteratorMonitor @ SimpleFilterProvider.java:61,2(60018),2(3025)
Map_UnsafeIteratorMonitor @ StdJdkSerializers.java:64,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ AntPathFilterTest.java:21,1(18),1(2)
StringBuilder_ThreadSafeMonitor @ AntPathFilterTest.java:25,1(8),1(7)
StringBuilder_ThreadSafeMonitor @ AntPathMatcher.java:617,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ AntPathMatcher.java:639,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ AntPathMatcher.java:859,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ AntPathMatcher.java:860,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ AntPathPropertyFilter.java:82,2(610466),1(10000)
StringBuilder_ThreadSafeMonitor @ Base64Variants.java:69,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ BeanUtil.java:248,1(440161),1(9999)
StringBuilder_ThreadSafeMonitor @ DefaultPrettyPrinter.java:243,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ User.java:26,1(89),1(27)
StringBuilder_ThreadSafeMonitor @ User.java:27,1(89),1(7)
StringBuilder_ThreadSafeMonitor @ User.java:28,1(89),1(21)
StringTokenizer_HasMoreElementsMonitor @ StringUtils.java:44,2(340123),2(16985)
Writer_ManipulateAfterCloseMonitor @ WriterBasedJsonGenerator.java:997,1(30009),1(1458)
__TOTAL__,434(10689731),324(519844)
