Loc,Total,Default
Collection_UnsafeIteratorMonitor @ GlushkovAnalyzer.java:536,5(189),3(29)
Collection_UnsafeIteratorMonitor @ GlushkovAnalyzer.java:596,5(1317),2(73)
Collection_UnsafeIteratorMonitor @ GlushkovAnalyzer.java:604,3(175),2(37)
Collection_UnsafeIteratorMonitor @ GlushkovAnalyzer.java:614,7(476),5(66)
Collection_UnsafeIteratorMonitor @ GlushkovFactorExtender.java:65,5(139),4(30)
Collection_UnsafeIteratorMonitor @ GlushkovFactorExtender.java:84,7(65),4(16)
Collection_UnsafeIteratorMonitor @ GlushkovFactorExtender.java:140,8(547),8(74)
Collection_UnsafeIteratorMonitor @ GlushkovNormalizer.java:177,3(176),1(10)
Collection_UnsafeIteratorMonitor @ GlushkovPrefixExtender.java:90,8(258),2(15)
Collection_UnsafeIteratorMonitor @ GlushkovPrefixExtender.java:107,12(254),4(21)
Collection_UnsafeIteratorMonitor @ IsIterableContainingInAnyOrder.java:26,6(114),2(8)
Collection_UnsafeIteratorMonitor @ IsIterableContainingInAnyOrder.java:74,17(479),1(28)
Collection_UnsafeIteratorMonitor @ IsIterableContainingInOrder.java:24,12(716),2(38)
Collection_UnsafeIteratorMonitor @ MatchBuilder.java:31,17(575),2(22)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:73,4(120),4(27)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:81,4(120),4(42)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:91,4(120),1(13)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:93,9(135),3(8)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:110,4(120),1(8)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:112,10(134),5(13)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:126,7(524683),1(9999)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:226,4(2724),1(137)
Collection_UnsafeIteratorMonitor @ MultiFactorRE.java:229,21(3241),4(188)
Collection_UnsafeIteratorMonitor @ MultiPatternSearchRule.java:33,1(6),1(6)
Collection_UnsafeIteratorMonitor @ MultiPatternSearchRule.java:48,1(6),1(6)
Collection_UnsafeIteratorMonitor @ MultiStringSearchRule.java:31,3(79),1(14)
Collection_UnsafeIteratorMonitor @ MultiStringSearchRule.java:50,3(79),1(17)
