Loc,Total,Default
Collections_SortBeforeBinarySearchMonitor @ IterableSubListGenerator.java:55,7(8629),3(503)
Collections_SortBeforeBinarySearchMonitor @ Lattice.java:197,1(42),1(42)
Collections_SortBeforeBinarySearchMonitor @ Lattice.java:230,3(260797),3(13181)
Collections_SortBeforeBinarySearchMonitor @ ResourceRecordSet.java:824,1(91),1(47)
Collections_SortBeforeBinarySearchMonitor @ RubberTree.java:60,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ RubberTree.java:72,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ RubberTree.java:174,1(5),1(5)
Collections_SortBeforeBinarySearchMonitor @ RubberTree.java:180,3(3),3(3)
Collections_SortBeforeBinarySearchMonitor @ RubberTree.java:192,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ SimpleSignatureShuffleSharder.java:108,2(129998),1(6530)
Collections_SortBeforeBinarySearchMonitor @ SimpleSignatureShuffleSharder.java:149,1(79999),1(4012)
Collections_SortBeforeBinarySearchMonitor @ StatefulSearchingShuffleSharder.java:174,1(338),1(95)
Iterator_HasNextMonitor @ AnswerSet.java:62,3(89),2(31)
Iterator_HasNextMonitor @ Lattice.java:176,2(130598),2(6616)
Iterator_HasNextMonitor @ Lattice.java:229,4(261017),3(13090)
Iterator_HasNextMonitor @ Lattice.java:243,4(130673),3(6580)
Iterator_HasNextMonitor @ Lattice.java:258,2(390796),1(9999)
Iterator_HasNextMonitor @ Lattice.java:326,4(361),3(45)
Iterator_HasNextMonitor @ RubberTree.java:66,1(0),1(0)
Iterator_HasNextMonitor @ RubberTree.java:71,1(3),1(3)
Iterator_HasNextMonitor @ RubberTree.java:89,1(0),1(0)
Iterator_HasNextMonitor @ RubberTree.java:97,1(0),1(0)
Iterator_HasNextMonitor @ RubberTree.java:98,1(1),1(1)
Iterator_HasNextMonitor @ RubberTree.java:194,1(0),1(0)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharder.java:105,2(129998),1(6518)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharder.java:120,2(109998),1(5548)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharder.java:135,1(19999),1(959)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:46,1(9999),1(523)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:64,1(0),1(0)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:97,1(99999),1(5080)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:106,1(99999),1(5040)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:110,1(99999),1(5121)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:124,1(0),1(0)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:162,1(9999),1(466)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:172,1(4967),1(331)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:177,1(5031),1(240)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:182,1(5031),1(287)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:187,1(4967),1(277)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:202,1(0),1(0)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:244,1(9999),1(579)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:254,1(3335),1(179)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:259,1(3289),1(193)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:264,1(3373),1(191)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:269,1(3348),1(167)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:274,1(3344),1(164)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:279,1(3305),1(172)
Iterator_HasNextMonitor @ SimpleSignatureShuffleSharderTests.java:294,1(0),1(0)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharder.java:120,1(165),1(39)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharder.java:135,3(503),2(39)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharder.java:158,17(269),1(17)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharder.java:204,5(970),1(49)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:93,1(99),1(93)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:136,1(44),1(28)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:145,1(44),1(27)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:149,1(44),1(14)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:188,1(19),1(19)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:198,1(9),1(9)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:203,1(9),1(5)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:208,1(9),1(9)
Iterator_HasNextMonitor @ StatefulSearchingShuffleSharderTests.java:213,1(9),1(9)
Iterator_HasNextMonitor @ SubListIteratorTests.java:27,1(0),1(0)
Iterator_HasNextMonitor @ SubListIteratorTests.java:39,1(0),1(0)
Iterator_HasNextMonitor @ SubListIteratorTests.java:54,1(0),1(0)
Iterator_RemoveOnceMonitor @ AnswerSet.java:62,3(89),1(3)
Iterator_RemoveOnceMonitor @ Lattice.java:176,2(130598),2(6394)
Iterator_RemoveOnceMonitor @ Lattice.java:229,3(260797),1(9999)
Iterator_RemoveOnceMonitor @ Lattice.java:243,3(130454),3(6475)
Iterator_RemoveOnceMonitor @ Lattice.java:258,2(390796),1(10000)
Iterator_RemoveOnceMonitor @ Lattice.java:326,3(321),3(43)
Iterator_RemoveOnceMonitor @ RubberTree.java:66,1(0),1(0)
Iterator_RemoveOnceMonitor @ RubberTree.java:71,1(3),1(3)
Iterator_RemoveOnceMonitor @ RubberTree.java:89,1(0),1(0)
Iterator_RemoveOnceMonitor @ RubberTree.java:97,1(0),1(0)
Iterator_RemoveOnceMonitor @ RubberTree.java:98,1(1),1(1)
Iterator_RemoveOnceMonitor @ RubberTree.java:194,1(0),1(0)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharder.java:105,2(129998),1(6574)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharder.java:120,2(109998),1(5592)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharder.java:135,1(19999),1(1050)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:46,1(9999),1(542)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:64,1(0),1(0)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:97,1(99999),1(4962)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:106,1(99999),1(5096)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:110,1(99999),1(4960)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:124,1(0),1(0)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:162,1(9999),1(494)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:172,1(4967),1(281)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:177,1(5031),1(226)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:182,1(5031),1(242)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:187,1(4967),1(257)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:202,1(0),1(0)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:244,1(9999),1(503)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:254,1(3335),1(210)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:259,1(3289),1(165)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:264,1(3373),1(163)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:269,1(3348),1(166)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:274,1(3344),1(172)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:279,1(3305),1(178)
Iterator_RemoveOnceMonitor @ SimpleSignatureShuffleSharderTests.java:294,1(0),1(0)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharder.java:120,1(165),1(90)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharder.java:135,1(285),1(13)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharder.java:158,16(270),2(30)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharder.java:204,4(971),4(54)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:93,1(99),1(12)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:136,1(44),1(3)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:145,1(44),1(6)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:149,1(44),1(44)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:188,1(19),1(3)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:198,1(9),1(8)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:203,1(9),1(5)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:208,1(9),1(2)
Iterator_RemoveOnceMonitor @ StatefulSearchingShuffleSharderTests.java:213,1(9),1(9)
Iterator_RemoveOnceMonitor @ SubListIteratorTests.java:27,1(0),1(0)
Iterator_RemoveOnceMonitor @ SubListIteratorTests.java:39,1(0),1(0)
Iterator_RemoveOnceMonitor @ SubListIteratorTests.java:54,1(0),1(0)
List_UnsynchronizedSubListMonitor @ RubberTree.java:174,1(5),1(5)
List_UnsynchronizedSubListMonitor @ RubberTree.java:179,1(79),1(9)
List_UnsynchronizedSubListMonitor @ SimpleSignatureShuffleSharder.java:125,1(209999),1(9999)
List_UnsynchronizedSubListMonitor @ SimpleSignatureShuffleSharder.java:154,1(39999),1(2016)
Map_CollectionViewAddMonitor @ Lattice.java:229,5(130235),2(6630)
Map_CollectionViewAddMonitor @ Lattice.java:243,12(130445),4(6511)
Map_CollectionViewAddMonitor @ Lattice.java:326,3(64),2(9)
Map_CollectionViewAddMonitor @ SimpleSignatureShuffleSharder.java:135,1(19999),1(984)
Map_CollectionViewAddMonitor @ SimpleSignatureShuffleSharderTests.java:56,1(0),1(0)
Map_CollectionViewAddMonitor @ SimpleSignatureShuffleSharderTests.java:116,1(0),1(0)
Map_CollectionViewAddMonitor @ SimpleSignatureShuffleSharderTests.java:194,1(0),1(0)
Map_CollectionViewAddMonitor @ SimpleSignatureShuffleSharderTests.java:286,1(0),1(0)
Map_CollectionViewAddMonitor @ StatefulSearchingShuffleSharderTests.java:103,1(0),1(0)
Map_CollectionViewAddMonitor @ StatefulSearchingShuffleSharderTests.java:155,1(0),1(0)
Map_CollectionViewAddMonitor @ StatefulSearchingShuffleSharderTests.java:220,1(0),1(0)
Map_UnsafeIteratorMonitor @ Lattice.java:229,30(391231),9(19522)
Map_UnsafeIteratorMonitor @ Lattice.java:243,214(260920),214(260920)
Map_UnsafeIteratorMonitor @ Lattice.java:326,214(218),214(218)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharder.java:135,2(39998),2(2028)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:56,1(0),1(0)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:64,1(0),1(0)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:116,1(0),1(0)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:124,1(0),1(0)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:194,1(0),1(0)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:202,1(0),1(0)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:286,1(0),1(0)
Map_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:294,1(0),1(0)
Map_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:103,1(0),1(0)
Map_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:155,1(0),1(0)
Map_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:220,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ AnswerSet.java:115,1(616),1(45)
StringBuilder_ThreadSafeMonitor @ AnswerSet.java:122,1(616),1(28)
StringBuilder_ThreadSafeMonitor @ ResourceRecord.java:114,1(706),1(37)
StringBuilder_ThreadSafeMonitor @ ResourceRecord.java:115,1(706),1(38)
StringBuilder_ThreadSafeMonitor @ RubberTree.java:88,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ RubberTree.java:100,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ RubberTree.java:102,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ RubberTree.java:130,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ SimpleSignatureShuffleSharder.java:90,1(129999),1(6607)
Throwable_InitCauseOnceMonitor @ StatefulSearchingShuffleSharder.java:116,1(0),1(0)
__TOTAL__,799(7106115),697(558742)
