Loc,Total,Default
Collection_UnsafeIteratorMonitor @ RegexDecomposer.java:120,8(1743),5(101)
Collection_UnsafeIteratorMonitor @ RegexTestUtils.java:21,2(106),1(9)
Collection_UnsafeIteratorMonitor @ RegexTestUtils.java:34,3(137),2(6)
Collection_UnsafeIteratorMonitor @ RegexTranslator.java:37,3(108),1(20)
Collection_UnsafeIteratorMonitor @ RegexTranslator.java:52,3(98),3(22)
Collection_UnsafeIteratorMonitor @ RegexTranslator.java:85,15(139),3(11)
Collection_UnsafeIteratorMonitor @ RegexTranslator.java:115,2(17),2(12)
Collection_UnsafeIteratorMonitor @ SchemafulTupleSet.java:98,2(6),2(6)
Collection_UnsafeIteratorMonitor @ SimpleTest.java:16,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Tuple.java:37,11(7446140),1(9999)
Collection_UnsafeIteratorMonitor @ Tuple.java:62,5(10228),2(574)
Collection_UnsafeIteratorMonitor @ TupleSet.java:21,3(1),3(1)
Collection_UnsafeIteratorMonitor @ TupleSet.java:22,3(13),3(13)
Collection_UnsafeIteratorMonitor @ TupleUtils.java:22,3(24871),1(1264)
Collection_UnsafeIteratorMonitor @ TupleUtils.java:50,3(23),2(7)
Collection_UnsafeIteratorMonitor @ TupleUtils.java:51,3(49),1(5)
Collection_UnsafeIteratorMonitor @ Utils.java:58,3(7),3(7)
Collection_UnsafeIteratorMonitor @ Utils.java:148,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ Functions.java:76,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ JCUnit8.java:234,1(119),1(47)
Collection_UnsynchronizedAddAllMonitor @ JCUnit8Test.java:57,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:208,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:209,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:213,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:214,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:238,1(2),1(2)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:296,1(11),1(11)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:325,1(13),1(13)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:326,1(13),1(11)
Collection_UnsynchronizedAddAllMonitor @ Joiner.java:357,1(23),1(23)
Collection_UnsynchronizedAddAllMonitor @ Matcher.java:49,1(49),1(40)
Collection_UnsynchronizedAddAllMonitor @ NodeUtils.java:38,1(798),1(55)
Collection_UnsynchronizedAddAllMonitor @ Parser.java:207,1(326),1(26)
Collection_UnsynchronizedAddAllMonitor @ ParserTest.java:142,1(31),1(7)
Collection_UnsynchronizedAddAllMonitor @ Partitioner.java:41,1(67),1(8)
Collection_UnsynchronizedAddAllMonitor @ Partitioner.java:78,1(67),1(33)
Collection_UnsynchronizedAddAllMonitor @ Partitioner.java:99,1(66),1(46)
Collection_UnsynchronizedAddAllMonitor @ Partitioner.java:100,1(66),1(18)
Collection_UnsynchronizedAddAllMonitor @ Partitioner.java:103,1(66),1(10)
Collection_UnsynchronizedAddAllMonitor @ Partitioner.java:104,1(66),1(26)
Collection_UnsynchronizedAddAllMonitor @ Partitioner.java:113,1(97),1(4)
