Loc,Total,Default
Collection_UnsafeIteratorMonitor @ PlyWriter.java:562,1(3),1(3)
Collection_UnsafeIteratorMonitor @ PlyWriter.java:565,2(6),2(6)
Collection_UnsafeIteratorMonitor @ ShortestPath.java:23,6(1),6(1)
Collection_UnsafeIteratorMonitor @ ShortestPath.java:35,8522(1029),8522(1029)
Collection_UnsafeIteratorMonitor @ ShortestPath.java:49,8523(1026),8523(1026)
Collection_UnsafeIteratorMonitor @ ShortestPathTest.java:117,1(34),1(30)
Collection_UnsafeIteratorMonitor @ UndirectedGraph.java:64,3(1),2(1)
Collection_UnsafeIteratorMonitor @ WeightedLOProjectorTest.java:56,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WeightedLocallyOptimalProjector.java:95,1(149),1(149)
Collection_UnsafeIteratorMonitor @ WeightedLocallyOptimalProjector.java:126,1(149),1(40)
Collection_UnsafeIteratorMonitor @ WeightedLocallyOptimalProjector.java:157,2(153),2(44)
Collection_UnsynchronizedAddAllMonitor @ Graphs.java:79,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ LocallyOptimalProjector.java:152,1(19),1(6)
Collection_UnsynchronizedAddAllMonitor @ Octree.java:181,1(45),1(26)
Collection_UnsynchronizedAddAllMonitor @ Octree.java:266,1(64648),1(3271)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:246,1(2),1(1)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:252,1(1),1(1)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:258,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ OffReader.java:264,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ PcuReflectUtil.java:29,1(26),1(26)
Collection_UnsynchronizedAddAllMonitor @ ShortestPath.java:46,1(9542),1(520)
Collections_SortBeforeBinarySearchMonitor @ CardinalInterpolator.java:111,2(21),2(21)
Collections_SortBeforeBinarySearchMonitor @ CardinalInterpolator.java:127,5(3),5(3)
Collections_SortBeforeBinarySearchMonitor @ DataUtil.java:15,4(2),2(1)
Collections_SortBeforeBinarySearchMonitor @ DataUtil.java:40,9(14),9(14)
Collections_SortBeforeBinarySearchMonitor @ DataUtil.java:43,3(2),3(2)
Collections_SortBeforeBinarySearchMonitor @ EVD.java:54,1(1149),1(68)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:35,58(17),58(17)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:40,41(34),41(34)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:44,6(39),1(3)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:70,4(0),4(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:88,4(0),4(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:168,4(13),1(1)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:215,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:254,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:294,6(5),6(5)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:302,4(9),4(9)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:303,6(17),4(7)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:315,2(4776),1(228)
Collections_SortBeforeBinarySearchMonitor @ Graphs.java:316,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ GraphsTest.java:88,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ GraphsTest.java:100,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ GraphsTest.java:408,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ HoppeEstimator.java:40,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ HoppeEstimatorTest.java:58,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:105,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:170,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:173,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:182,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:186,7(4762),5(243)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:239,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:274,2(20),2(20)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:284,2(20),1(14)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:409,21(1),21(1)
Collections_SortBeforeBinarySearchMonitor @ LevelSetSkeleton.java:410,21(1),20(1)
Collections_SortBeforeBinarySearchMonitor @ LocalOptimalProjectorTest.java:19,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LocalOptimalProjectorTest.java:51,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LocallyOptimalProjector.java:69,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ LocallyOptimalProjector.java:148,1(19),1(19)
Collections_SortBeforeBinarySearchMonitor @ NormalizerTest.java:36,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ObjData.java:41,3(5),2(2)
Collections_SortBeforeBinarySearchMonitor @ ObjReader.java:168,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Octree.java:181,1(45),1(7)
Collections_SortBeforeBinarySearchMonitor @ Octree.java:221,226(3196),226(3196)
Collections_SortBeforeBinarySearchMonitor @ Octree.java:290,497(2941),47(213)
Collections_SortBeforeBinarySearchMonitor @ Octree.java:312,56(14608),10(772)
Collections_SortBeforeBinarySearchMonitor @ Octree.java:318,40(3398),5(249)
Collections_SortBeforeBinarySearchMonitor @ OctreeTest.java:24,4(0),4(0)
Collections_SortBeforeBinarySearchMonitor @ OctreeVoxelizer.java:28,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:134,2(4),2(4)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:145,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:156,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:188,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:193,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:246,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:252,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:258,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ OffReader.java:264,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ PcuCommonUtil.java:12,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ PcuCommonUtil.java:20,37(20),37(20)
Collections_SortBeforeBinarySearchMonitor @ PcuReflectUtil.java:29,2(10),2(10)
Collections_SortBeforeBinarySearchMonitor @ PlyData.java:41,2(6),2(6)
Collections_SortBeforeBinarySearchMonitor @ PlyData.java:106,3(0),3(0)
Collections_SortBeforeBinarySearchMonitor @ PlyData.java:162,2(1),2(1)
Collections_SortBeforeBinarySearchMonitor @ PlyReader.java:73,3(12),3(8)
Collections_SortBeforeBinarySearchMonitor @ PlyReader.java:84,10(5),10(5)
