Appendable_ThreadSafe @ MorphotacticEngine.java:19: 1 Unique Traces, 45 Redundant Traces, 1 Preserved, 13 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:24: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:35: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 484 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:40: 1 Unique Traces, 2712 Redundant Traces, 1 Preserved, 197 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:48: 1 Unique Traces, 256 Redundant Traces, 1 Preserved, 16 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:52: 1 Unique Traces, 54 Redundant Traces, 1 Preserved, 22 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:55: 1 Unique Traces, 228 Redundant Traces, 1 Preserved, 68 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:57: 1 Unique Traces, 752 Redundant Traces, 1 Preserved, 55 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:62: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 532 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:65: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 548 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:73: 1 Unique Traces, 5940 Redundant Traces, 1 Preserved, 285 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:80: 1 Unique Traces, 514 Redundant Traces, 1 Preserved, 30 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:84: 1 Unique Traces, 198 Redundant Traces, 1 Preserved, 10 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:87: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 530 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:90: 1 Unique Traces, 1734 Redundant Traces, 1 Preserved, 106 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:96: 1 Unique Traces, 2082 Redundant Traces, 1 Preserved, 178 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:99: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 543 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:105: 1 Unique Traces, 236 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:108: 1 Unique Traces, 9999 Redundant Traces, 1 Preserved, 483 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:123: 1 Unique Traces, 9586 Redundant Traces, 1 Preserved, 537 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:133: 1 Unique Traces, 17 Redundant Traces, 1 Preserved, 9 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:137: 1 Unique Traces, 129 Redundant Traces, 1 Preserved, 37 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:141: 1 Unique Traces, 53 Redundant Traces, 1 Preserved, 42 Remained 
Appendable_ThreadSafe @ MorphotacticEngine.java:145: 1 Unique Traces, 56 Redundant Traces, 1 Preserved, 3 Remained 
