Collection_UnsafeIterator @ FiniteStateMachine.java:148: 141 Unique Traces, 2016 Redundant Traces, 140 Preserved, 2016 Remained 
Collection_UnsafeIterator @ FsmMorphologicalAnalyzer.java:616: 9 Unique Traces, 154 Redundant Traces, 6 Preserved, 37 Remained 
Collection_UnsafeIterator @ FsmMorphologicalAnalyzer.java:662: 19 Unique Traces, 3251 Redundant Traces, 6 Preserved, 187 Remained 
Collection_UnsafeIterator @ FsmParse.java:662: 9 Unique Traces, 230 Redundant Traces, 4 Preserved, 21 Remained 
Collection_UnsafeIterator @ FsmParseList.java:140: 4 Unique Traces, 16 Redundant Traces, 3 Preserved, 6 Remained 
Collection_UnsafeIterator @ FsmParseList.java:168: 2 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
Collection_UnsafeIterator @ NGramDeasciifier.java:106: 3 Unique Traces, 14 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ NGramNode.java:150: 371 Unique Traces, 95182 Redundant Traces, 371 Preserved, 95182 Remained 
Collection_UnsafeIterator @ NGramNode.java:187: 371 Unique Traces, 95182 Redundant Traces, 371 Preserved, 95182 Remained 
Collection_UnsafeIterator @ NGramNode.java:195: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsafeIterator @ XmlElement.java:64: 6 Unique Traces, 10557 Redundant Traces, 4 Preserved, 577 Remained 
Collection_UnsynchronizedAddAll @ Trie.java:44: 1 Unique Traces, 325 Redundant Traces, 1 Preserved, 26 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:52: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:173: 31 Unique Traces, 242 Redundant Traces, 7 Preserved, 34 Remained 
Collections_SortBeforeBinarySearch @ FiniteStateMachine.java:195: 17 Unique Traces, 67 Redundant Traces, 17 Preserved, 66 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:427: 8 Unique Traces, 12 Redundant Traces, 7 Preserved, 8 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:431: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:483: 27 Unique Traces, 41 Redundant Traces, 7 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:500: 1 Unique Traces, 3 Redundant Traces, 1 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:513: 3 Unique Traces, 1 Redundant Traces, 3 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:517: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:521: 15 Unique Traces, 29 Redundant Traces, 15 Preserved, 29 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:549: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ FsmMorphologicalAnalyzer.java:771: 5 Unique Traces, 28 Redundant Traces, 4 Preserved, 28 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:117: 1 Unique Traces, 491 Redundant Traces, 1 Preserved, 37 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:119: 1 Unique Traces, 491 Redundant Traces, 1 Preserved, 36 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:137: 2 Unique Traces, 25 Redundant Traces, 2 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:140: 1 Unique Traces, 41 Redundant Traces, 1 Preserved, 31 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:142: 3 Unique Traces, 66 Redundant Traces, 3 Preserved, 20 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:244: 1 Unique Traces, 437 Redundant Traces, 1 Preserved, 44 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:246: 1 Unique Traces, 369 Redundant Traces, 1 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:325: 10 Unique Traces, 2768 Redundant Traces, 4 Preserved, 199 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:329: 10 Unique Traces, 2768 Redundant Traces, 4 Preserved, 180 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:333: 9 Unique Traces, 2331 Redundant Traces, 4 Preserved, 160 Remained 
Collections_SortBeforeBinarySearch @ FsmParse.java:337: 5 Unique Traces, 741 Redundant Traces, 3 Preserved, 95 Remained 
Collections_SortBeforeBinarySearch @ FsmParseList.java:65: 1 Unique Traces, 129 Redundant Traces, 1 Preserved, 14 Remained 
