Collection_UnsafeIterator @ PolygonBuilder.java:272: 2 Unique Traces, 6 Redundant Traces, 2 Preserved, 6 Remained 
Collection_UnsafeIterator @ PolygonRing.java:101: 3 Unique Traces, 2 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ PolygonTopologyAnalyzer.java:370: 6 Unique Traces, 10 Redundant Traces, 6 Preserved, 10 Remained 
Collection_UnsafeIterator @ RightmostEdgeFinder.java:59: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 17 Remained 
Collection_UnsafeIterator @ STRtree.java:66: 10 Unique Traces, 342 Redundant Traces, 6 Preserved, 26 Remained 
Collection_UnsafeIterator @ STRtree.java:154: 23 Unique Traces, 32 Redundant Traces, 9 Preserved, 11 Remained 
Collection_UnsafeIterator @ SegmentIntersector.java:203: 3 Unique Traces, 13 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ SegmentNodeList.java:70: 4 Unique Traces, 36 Redundant Traces, 4 Preserved, 7 Remained 
Collection_UnsafeIterator @ SegmentNodeList.java:97: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsafeIterator @ SimpleMCSweepLineIntersector.java:67: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 3 Remained 
Collection_UnsafeIterator @ SimpleMCSweepLineIntersector.java:75: 3 Unique Traces, 3 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ SubgraphDepthLocater.java:66: 16 Unique Traces, 3 Redundant Traces, 16 Preserved, 3 Remained 
Collection_UnsafeIterator @ SubgraphDepthLocater.java:96: 2 Unique Traces, 13 Redundant Traces, 2 Preserved, 13 Remained 
Collection_UnsafeIterator @ UnknownFieldSet.java:129: 1 Unique Traces, 112 Redundant Traces, 1 Preserved, 14 Remained 
Collection_UnsafeIterator @ UnmodifiableLazyStringList.java:166: 11 Unique Traces, 10059 Redundant Traces, 9 Preserved, 497 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:147: 3 Unique Traces, 355 Redundant Traces, 2 Preserved, 64 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:161: 2 Unique Traces, 1637 Redundant Traces, 1 Preserved, 112 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:174: 6 Unique Traces, 1002114 Redundant Traces, 6 Preserved, 49765 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:198: 2 Unique Traces, 1002118 Redundant Traces, 2 Preserved, 9998 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:249: 2 Unique Traces, 11 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:278: 6 Unique Traces, 39 Redundant Traces, 2 Preserved, 5 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:338: 26 Unique Traces, 10045 Redundant Traces, 26 Preserved, 10044 Remained 
Collection_UnsafeIterator @ VectorTileDecoder.java:359: 31 Unique Traces, 10053 Redundant Traces, 31 Preserved, 10053 Remained 
Collection_UnsafeIterator @ VectorTileDecoderTest.java:83: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ VectorTileDecoderTest.java:103: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ VectorTileDecoderTest.java:127: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ VectorTileDecoderTest.java:154: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ VectorTileDecoderTest.java:181: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ VectorTileDecoderTest.java:226: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ VectorTileDecoderTest.java:326: 3 Unique Traces, 3 Redundant Traces, 3 Preserved, 2 Remained 
Collection_UnsafeIterator @ VectorTileEncoder.java:253: 6 Unique Traces, 30 Redundant Traces, 2 Preserved, 11 Remained 
Collection_UnsafeIterator @ VectorTileEncoder.java:361: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 4 Remained 
Collection_UnsafeIterator @ VectorTileEncoder.java:372: 4 Unique Traces, 17 Redundant Traces, 4 Preserved, 11 Remained 
Collection_UnsafeIterator @ VectorTileEncoder.java:398: 4 Unique Traces, 17 Redundant Traces, 2 Preserved, 3 Remained 
Collection_UnsynchronizedAddAll @ LazyStringArrayList.java:89: 1 Unique Traces, 20 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsynchronizedAddAll @ OverlayOp.java:604: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ OverlayOp.java:605: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ OverlayOp.java:606: 1 Unique Traces, 2 Redundant Traces, 1 Preserved, 2 Remained 
Collection_UnsynchronizedAddAll @ STRtree.java:138: 1 Unique Traces, 110 Redundant Traces, 1 Preserved, 16 Remained 
Collection_UnsynchronizedAddAll @ VectorTileDecoder.java:162: 1 Unique Traces, 1640 Redundant Traces, 1 Preserved, 108 Remained 
Collection_UnsynchronizedAddAll @ VectorTileDecoder.java:335: 3 Unique Traces, 10078 Redundant Traces, 2 Preserved, 517 Remained 
Collection_UnsynchronizedAddAll @ VectorTileEncoder.java:496: 1 Unique Traces, 5 Redundant Traces, 1 Preserved, 5 Remained 
Collection_UnsynchronizedAddAll @ VectorTileEncoder.java:510: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 11 Remained 
Collection_UnsynchronizedAddAll @ VectorTileEncoder.java:530: 1 Unique Traces, 19 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsynchronizedAddAll @ VectorTileEncoder.java:537: 1 Unique Traces, 12 Redundant Traces, 1 Preserved, 12 Remained 
Collections_SortBeforeBinarySearch @ AbstractMessageLite.java:381: 17 Unique Traces, 50 Redundant Traces, 17 Preserved, 50 Remained 
Collections_SortBeforeBinarySearch @ AbstractNode.java:128: 10 Unique Traces, 342 Redundant Traces, 6 Preserved, 27 Remained 
Collections_SortBeforeBinarySearch @ AbstractSTRtree.java:144: 6 Unique Traces, 105 Redundant Traces, 1 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ AbstractSTRtree.java:146: 1 Unique Traces, 110 Redundant Traces, 1 Preserved, 19 Remained 
Collections_SortBeforeBinarySearch @ AbstractSTRtree.java:265: 17 Unique Traces, 16 Redundant Traces, 10 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ AbstractSTRtree.java:317: 32 Unique Traces, 2307 Redundant Traces, 4 Preserved, 139 Remained 
Collections_SortBeforeBinarySearch @ BufferBuilder.java:283: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ BufferBuilder.java:324: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ BufferCurveSetBuilder.java:130: 2 Unique Traces, 3 Redundant Traces, 2 Preserved, 3 Remained 
Collections_SortBeforeBinarySearch @ BufferSubgraph.java:115: 1 Unique Traces, 18 Redundant Traces, 1 Preserved, 18 Remained 
Collections_SortBeforeBinarySearch @ BufferSubgraph.java:130: 2 Unique Traces, 17 Redundant Traces, 1 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ BufferSubgraph.java:133: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 17 Remained 
Collections_SortBeforeBinarySearch @ BufferSubgraph.java:179: 2 Unique Traces, 17 Redundant Traces, 2 Preserved, 4 Remained 
Collections_SortBeforeBinarySearch @ ComponentCoordinateExtracter.java:66: 1 Unique Traces, 132 Redundant Traces, 1 Preserved, 7 Remained 
Collections_SortBeforeBinarySearch @ DirectedEdgeStar.java:163: 1 Unique Traces, 39 Redundant Traces, 1 Preserved, 32 Remained 
Collections_SortBeforeBinarySearch @ DouglasPeuckerLineSimplifier.java:63: 10 Unique Traces, 25 Redundant Traces, 10 Preserved, 25 Remained 
Collections_SortBeforeBinarySearch @ EdgeIntersectionList.java:113: 3 Unique Traces, 0 Redundant Traces, 3 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ EdgeList.java:50: 5 Unique Traces, 3 Redundant Traces, 1 Preserved, 2 Remained 
Collections_SortBeforeBinarySearch @ EdgeNodingValidator.java:54: 3 Unique Traces, 0 Redundant Traces, 2 Preserved, 0 Remained 
