Loc,Total,Default
Appendable_ThreadSafeMonitor @ Analyzer.java:290,1(27),1(27)
Appendable_ThreadSafeMonitor @ Analyzer.java:294,1(4),1(4)
Appendable_ThreadSafeMonitor @ AnalyzerException.java:82,2(20),2(9)
Appendable_ThreadSafeMonitor @ AuxiliaryType.java:103,1(7),1(2)
Appendable_ThreadSafeMonitor @ BasicInterpreter.java:248,1(127151),1(6319)
Appendable_ThreadSafeMonitor @ BasicVerifier.java:362,1(0),1(0)
Appendable_ThreadSafeMonitor @ BasicVerifier.java:401,1(0),1(0)
Appendable_ThreadSafeMonitor @ CanCalculateFramesForEveryJdkRuntimeClassTest.java:29,1(3),1(3)
Appendable_ThreadSafeMonitor @ ClassReader.java:286,1(2425825),1(10000)
Appendable_ThreadSafeMonitor @ FieldAccessor.java:357,1(1),1(1)
Appendable_ThreadSafeMonitor @ Frame.java:176,1(0),1(0)
Appendable_ThreadSafeMonitor @ Frame.java:662,1(0),1(0)
Appendable_ThreadSafeMonitor @ Frame.java:722,2(37),2(24)
Appendable_ThreadSafeMonitor @ Implementation.java:986,1(7),1(7)
Appendable_ThreadSafeMonitor @ Implementation.java:1158,1(7),1(5)
Appendable_ThreadSafeMonitor @ MethodCallProxy.java:145,1(14),1(13)
Appendable_ThreadSafeMonitor @ MethodDescription.java:451,4(66),4(66)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:201,1(7),1(7)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:203,1(8),1(3)
Appendable_ThreadSafeMonitor @ RandomString.java:46,1(0),1(0)
Appendable_ThreadSafeMonitor @ ResourceFinder.java:46,1(3907),1(205)
Appendable_ThreadSafeMonitor @ ResourceFinder.java:51,1(79539),1(4069)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:117,4(18),4(5)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:126,2(22),2(22)
Appendable_ThreadSafeMonitor @ SignatureWriter.java:158,2(7),2(7)
Appendable_ThreadSafeMonitor @ SimpleVerifier.java:162,3(623835),1(10000)
Appendable_ThreadSafeMonitor @ SimpleVerifier.java:278,1(30),1(17)
Appendable_ThreadSafeMonitor @ Type.java:509,1(124828),1(6197)
Appendable_ThreadSafeMonitor @ Type.java:548,1(8),1(8)
Appendable_ThreadSafeMonitor @ Type.java:582,6(20),3(7)
Appendable_ThreadSafeMonitor @ Type.java:606,12(179),7(34)
Appendable_ThreadSafeMonitor @ Type.java:634,75(8257),8(426)
Appendable_ThreadSafeMonitor @ Type.java:642,1(71),1(9)
Appendable_ThreadSafeMonitor @ Type.java:644,1(154),1(14)
Appendable_ThreadSafeMonitor @ TypeDescription.java:8229,1(47),1(47)
Arrays_SortBeforeBinarySearchMonitor @ ClassReader.java:1748,1(185177),1(9170)
Arrays_SortBeforeBinarySearchMonitor @ ClassReader.java:1750,1(185177),1(9262)
Arrays_SortBeforeBinarySearchMonitor @ DynamicType.java:6219,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ InvokeDynamicInsnNode.java:74,1(1532),1(80)
