Loc,Total,Default
Collection_UnsafeIteratorMonitor @ DefaultAnnotationTest.java:161,1(0),1(0)
Collection_UnsafeIteratorMonitor @ DetailScannerTest.java:64,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Dictionary.java:100,3(7),3(7)
Collection_UnsafeIteratorMonitor @ DynamicMapOfAttributesTest.java:48,1(1),1(1)
Collection_UnsafeIteratorMonitor @ ExampleConverters.java:166,1(0),1(0)
Collection_UnsafeIteratorMonitor @ FieldScanner.java:132,13(195),3(8)
Collection_UnsafeIteratorMonitor @ FieldScanner.java:155,6(34),4(9)
Collection_UnsafeIteratorMonitor @ FieldScannerDefaultTest.java:119,2(0),2(0)
Collection_UnsafeIteratorMonitor @ FieldScannerTest.java:40,1(0),1(0)
Collection_UnsafeIteratorMonitor @ GroupExtractor.java:304,2(22),2(5)
Collection_UnsafeIteratorMonitor @ InputNodeMap.java:75,7(70387),2(3475)
Collection_UnsafeIteratorMonitor @ InputNodeMap.java:163,12(37500),5(1873)
Collection_UnsafeIteratorMonitor @ InstantiatorBuilder.java:206,2(170),2(10)
Collection_UnsafeIteratorMonitor @ InstantiatorBuilder.java:244,5(17),3(9)
Collection_UnsafeIteratorMonitor @ InstantiatorBuilder.java:398,3(311),3(52)
Collection_UnsafeIteratorMonitor @ LabelMap.java:71,111(3725074),111(3725074)
Collection_UnsafeIteratorMonitor @ MethodContactTest.java:69,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodContactTest.java:105,3(0),3(0)
Collection_UnsafeIteratorMonitor @ MethodScanner.java:143,3(68),1(16)
Collection_UnsafeIteratorMonitor @ MethodScanner.java:159,21(205),5(16)
Collection_UnsafeIteratorMonitor @ MethodScanner.java:182,4(5),3(5)
Collection_UnsafeIteratorMonitor @ MethodScanner.java:536,6(347),1(16)
Collection_UnsafeIteratorMonitor @ MethodScannerDefaultTest.java:253,2(2),2(2)
Collection_UnsafeIteratorMonitor @ MethodScannerTest.java:116,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodScannerTest.java:162,1(0),1(0)
