Loc,Total,Default
Collection_UnsafeIteratorMonitor @ SimpleRuleStore.java:112,1(1),1(1)
Collection_UnsafeIteratorMonitor @ SimpleRuleStore.java:137,1(1),1(1)
Collection_UnsafeIteratorMonitor @ SimpleRuleStore.java:165,1(1),1(1)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:59,2(0),2(0)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:95,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:114,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StringTable.java:44,90(0),89(0)
Collection_UnsafeIteratorMonitor @ UnknownFieldSet.java:207,1(0),1(0)
Collection_UnsafeIteratorMonitor @ UnmodifiableLazyStringList.java:166,2(4),2(4)
Collection_UnsafeIteratorMonitor @ VarInt.java:232,23(704069),5(34919)
Collection_UnsafeIteratorMonitor @ VexOutput.java:103,24(234920),5(11795)
Collection_UnsafeIteratorMonitor @ VexOutput.java:169,82(1850),82(1850)
Collection_UnsynchronizedAddAllMonitor @ BasicStatusManager.java:79,1(1),1(0)
Collection_UnsynchronizedAddAllMonitor @ ElementPath.java:33,1(3),1(3)
Collection_UnsynchronizedAddAllMonitor @ ElementPath.java:59,6(0),5(0)
Collection_UnsynchronizedAddAllMonitor @ LazyStringArrayList.java:89,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ AppenderAttachableImpl.java:40,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BTreeMap.java:542,1(55),1(40)
Collections_SortBeforeBinarySearchMonitor @ BTreeMap.java:817,4(43),4(9)
Collections_SortBeforeBinarySearchMonitor @ BasicStatusManager.java:68,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BasicStatusManager.java:79,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ COWArrayList.java:119,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ConfigurationWatchList.java:61,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ConfigurationWatchList.java:62,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:33,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:52,4(31),1(9)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:59,1(5),1(5)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:97,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ Interpreter.java:144,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Interpreter.java:219,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Interpreter.java:235,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ LazyStringArrayList.java:89,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LazyStringArrayList.java:179,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LazyStringArrayList.java:218,3(7),2(2)
Collections_SortBeforeBinarySearchMonitor @ Logger.java:359,2(2),2(2)
Collections_SortBeforeBinarySearchMonitor @ OSMEntity.java:88,27(1825994),4(39996)
Collections_SortBeforeBinarySearchMonitor @ OptionTokenizer.java:93,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:289,2(4),2(4)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:298,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:3112,2(105),2(42)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:4069,1(89),1(13)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:4648,4(13),4(12)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:4657,2(4),1(4)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:5934,2(10),2(10)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:6174,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:6703,93(14),93(14)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:7153,86(4),86(4)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:8642,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:8663,1(3),1(2)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:8684,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:8705,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:8726,1(3),1(2)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:12641,5(81),4(23)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:12675,5(81),4(31)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:12696,5(81),4(25)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:12717,79(7),79(7)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:13536,2(75),1(19)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:13799,2(75),1(15)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:13906,2(75),1(24)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:14013,73(4),73(4)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:14312,20(469109),5(23511)
Collections_SortBeforeBinarySearchMonitor @ Osmformat.java:14333,20(469109),6(23202)
