Loc,Total,Default
Iterator_HasNextMonitor @ Automaton.java:648,3(34204),2(1697)
Iterator_HasNextMonitor @ Automaton.java:650,3(34204),2(1762)
Iterator_HasNextMonitor @ Automaton.java:655,2(98217),1(4975)
Iterator_HasNextMonitor @ BasicOperations.java:88,1(4201),1(217)
Iterator_HasNextMonitor @ BasicOperations.java:99,2(4200),2(214)
Iterator_HasNextMonitor @ BasicOperations.java:103,2(4200),2(281)
Iterator_HasNextMonitor @ BasicOperations.java:113,2(4200),2(194)
Iterator_HasNextMonitor @ BasicOperations.java:125,3(8201),2(418)
Iterator_HasNextMonitor @ BasicOperations.java:223,1(21800),1(1246)
Iterator_HasNextMonitor @ BasicOperations.java:227,1(2200),1(113)
Iterator_HasNextMonitor @ BasicOperations.java:417,1(2200),1(121)
Iterator_HasNextMonitor @ BasicOperations.java:421,1(2200),1(193)
Iterator_HasNextMonitor @ BasicOperations.java:466,2(77216),2(3871)
Iterator_HasNextMonitor @ BasicOperations.java:473,1(274664),1(9999)
Iterator_HasNextMonitor @ BasicOperations.java:474,3(274662),3(13837)
Iterator_HasNextMonitor @ MinimizationOperations.java:232,1(4201),1(233)
Iterator_HasNextMonitor @ MinimizationOperations.java:241,5(6598),3(327)
Iterator_HasNextMonitor @ MinimizationOperations.java:295,7(48415),5(2440)
Iterator_HasNextMonitor @ MinimizationOperations.java:319,7(92619),3(4664)
Iterator_HasNextMonitor @ MinimizationOperations.java:331,7(265854),3(13405)
Iterator_HasNextMonitor @ MinimizationOperations.java:335,4(68410),4(3386)
Iterator_HasNextMonitor @ MinimizationOperations.java:361,4(171261),4(8489)
Iterator_HasNextMonitor @ MinimizationOperations.java:374,2(81618),2(4108)
Iterator_HasNextMonitor @ MinimizationOperations.java:386,3(81617),3(4080)
Iterator_HasNextMonitor @ State.java:110,4(298872),4(15035)
Iterator_RemoveOnceMonitor @ Automaton.java:289,4(792168),2(19998)
Iterator_RemoveOnceMonitor @ Automaton.java:313,4(222046),3(11017)
Iterator_RemoveOnceMonitor @ Automaton.java:329,6(13200),3(673)
Iterator_RemoveOnceMonitor @ Automaton.java:339,5(6598),3(325)
Iterator_RemoveOnceMonitor @ Automaton.java:341,2(68412),2(3432)
Iterator_RemoveOnceMonitor @ Automaton.java:371,6(13200),3(720)
Iterator_RemoveOnceMonitor @ Automaton.java:376,2(136826),1(6903)
Iterator_RemoveOnceMonitor @ Automaton.java:407,8(13198),5(687)
Iterator_RemoveOnceMonitor @ Automaton.java:408,4(152231),3(7617)
Iterator_RemoveOnceMonitor @ Automaton.java:416,2(13204),2(671)
Iterator_RemoveOnceMonitor @ Automaton.java:433,7(13199),4(630)
