Loc,Total,Default
StringBuilder_ThreadSafeMonitor @ Bug102Test.java:94,1(395),1(24)
StringBuilder_ThreadSafeMonitor @ Bug102Test.java:159,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Bug34CharacterEncodingTest.java:50,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Bug49Test.java:33,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ Bug49Test.java:35,1(23),1(10)
StringBuilder_ThreadSafeMonitor @ Bug56Test.java:33,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Bug56Test.java:36,1(12),1(2)
StringBuilder_ThreadSafeMonitor @ Bug56Test.java:39,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ Bug64ExcelDBFTest.java:34,1(15),1(15)
StringBuilder_ThreadSafeMonitor @ Bug64ExcelDBFTest.java:36,1(159),1(16)
StringBuilder_ThreadSafeMonitor @ DBFDataType.java:201,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFField.java:444,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ DBFField.java:467,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFField.java:492,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFField.java:521,1(4),1(1)
StringBuilder_ThreadSafeMonitor @ DBFLockWriterTest.java:39,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ DBFLockWriterTest.java:58,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ DBFReader.java:301,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFReader.java:396,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFReader.java:477,1(224),1(45)
StringBuilder_ThreadSafeMonitor @ DBFReader.java:647,2(0),2(0)
StringBuilder_ThreadSafeMonitor @ DBFRow.java:51,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFRow.java:109,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFRowTest.java:35,1(51),1(5)
StringBuilder_ThreadSafeMonitor @ DBFUtils.java:82,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFUtils.java:248,10(45),4(26)
StringBuilder_ThreadSafeMonitor @ DBFUtils.java:250,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFUtilsTest.java:233,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ DBFWriter.java:193,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ DBFWriter.java:239,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFWriter.java:310,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFWriter.java:316,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFWriter.java:322,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ DBFWriter.java:328,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ DBFWriterRandomAccesTest.java:56,1(2),1(1)
StringBuilder_ThreadSafeMonitor @ DBFWriterRandomAccesTest.java:75,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ DbfToTxtTest.java:47,1(64959),1(3354)
StringBuilder_ThreadSafeMonitor @ DbfToTxtTest.java:82,1(167),1(25)
StringBuilder_ThreadSafeMonitor @ DbfToTxtTest.java:100,1(3),1(3)
StringBuilder_ThreadSafeMonitor @ ReadDBFAssert.java:40,1(6),1(6)
StringBuilder_ThreadSafeMonitor @ ReadDBFAssert.java:80,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ ZeroFieldCountTest.java:29,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFDataType.java:201,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFField.java:378,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFField.java:382,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFField.java:445,1(1),1(1)
Throwable_InitCauseOnceMonitor @ DBFField.java:467,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFField.java:486,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFField.java:489,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFField.java:492,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFReader.java:258,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFReader.java:301,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFReader.java:396,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFRow.java:51,1(0),1(0)
Throwable_InitCauseOnceMonitor @ DBFRow.java:109,1(0),1(0)
