Collection_UnsafeIterator @ AllArguments.java:206: 3 Unique Traces, 11 Redundant Traces, 3 Preserved, 11 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:643: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 3 Remained 
Collection_UnsafeIterator @ AnnotationAppender.java:743: 1 Unique Traces, 38 Redundant Traces, 1 Preserved, 9 Remained 
Collection_UnsafeIterator @ AnnotationDescription.java:578: 4 Unique Traces, 17 Redundant Traces, 4 Preserved, 17 Remained 
Collection_UnsafeIterator @ AnnotationList.java:104: 4 Unique Traces, 59 Redundant Traces, 4 Preserved, 30 Remained 
Collection_UnsafeIterator @ AnnotationList.java:130: 2 Unique Traces, 2 Redundant Traces, 2 Preserved, 2 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:294: 3 Unique Traces, 20 Redundant Traces, 3 Preserved, 20 Remained 
Collection_UnsafeIterator @ ArrayFactory.java:310: 3 Unique Traces, 11 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:139: 1 Unique Traces, 6 Redundant Traces, 1 Preserved, 6 Remained 
Collection_UnsafeIterator @ ByteCodeAppender.java:155: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ByteCodeElement.java:159: 2 Unique Traces, 4 Redundant Traces, 2 Preserved, 4 Remained 
Collection_UnsafeIterator @ ClassInjector.java:115: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:120: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ ClassInjector.java:242: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionErasureMatcher.java:52: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionItemMatcher.java:47: 3 Unique Traces, 33 Redundant Traces, 2 Preserved, 33 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:57: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ CollectionOneToOneMatcher.java:58: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ Comparators.java:63: 7 Unique Traces, 431261 Redundant Traces, 2 Preserved, 21783 Remained 
Collection_UnsafeIterator @ ConstructorStrategy.java:197: 1 Unique Traces, 0 Redundant Traces, 1 Preserved, 0 Remained 
Collection_UnsafeIterator @ DynamicType.java:2962: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:5688: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:6089: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ DynamicType.java:6100: 2 Unique Traces, 1 Redundant Traces, 2 Preserved, 1 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:132: 1 Unique Traces, 62 Redundant Traces, 1 Preserved, 19 Remained 
Collection_UnsafeIterator @ ElementMatcher.java:145: 6 Unique Traces, 199 Redundant Traces, 2 Preserved, 19 Remained 
