Appendable_ThreadSafe @ UriCodecTest.java:135: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UriCodecTest.java:174: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ UrnCodec.java:69: 1 Unique Traces, 807 Redundant Traces, 1 Preserved, 39 Remained 
Appendable_ThreadSafe @ UrnCodecTest.java:23: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 23 Remained 
Appendable_ThreadSafe @ UrnCodecTest.java:35: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 72 Remained 
Appendable_ThreadSafe @ UrnCodecTest.java:55: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UrnCodecTest.java:59: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UrnCodecTest.java:126: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UrnCodecTest.java:134: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Appendable_ThreadSafe @ UrnCodecTest.java:173: 1 Unique Traces, 199 Redundant Traces, 1 Preserved, 79 Remained 
Arrays_SortBeforeBinarySearch @ PrefixCombFactoryTest.java:180: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Arrays_SortBeforeBinarySearch @ ShortPrefixCombFactoryTest.java:152: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 8 Remained 
Arrays_SortBeforeBinarySearch @ ShortSuffixCombFactoryTest.java:153: 1 Unique Traces, 9 Redundant Traces, 1 Preserved, 9 Remained 
Arrays_SortBeforeBinarySearch @ SuffixCombFactoryTest.java:178: 1 Unique Traces, 7 Redundant Traces, 1 Preserved, 7 Remained 
Arrays_SortBeforeBinarySearch @ TimeOrderedEpochFactoryTest.java:512: 1 Unique Traces, 29 Redundant Traces, 1 Preserved, 16 Remained 
Arrays_SortBeforeBinarySearch @ UuidFactoryTest.java:70: 1 Unique Traces, 11 Redundant Traces, 1 Preserved, 6 Remained 
Collections_SortBeforeBinarySearch @ AbstRandomBasedFactoryTest.java:230: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 0 Remained 
Collections_SortBeforeBinarySearch @ AbstRandomBasedFactoryTest.java:241: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ AbstRandomBasedFactoryTest.java:252: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
Collections_SortBeforeBinarySearch @ AbstRandomBasedFactoryTest.java:265: 1 Unique Traces, 1 Redundant Traces, 1 Preserved, 1 Remained 
